epoch,order,direction,bias,timestamp_unix,dc_dmm
0,0,forward,-3.101840714546838,1784188182.852145,0.240137815
0,1,forward,-0.49077119052486373,1784188184.001649,0.23209412
0,2,forward,2.12029833349711,1784188185.1479151,1.36759575
0,3,forward,4.731367857519084,1784188186.29136,0.352749547
0,4,reverse,4.731367857519084,1784188187.4496121,0.344705852
0,5,reverse,2.12029833349711,1784188188.599586,1.35016774
0,6,reverse,-0.49077119052486373,1784188189.749922,1.34480528
0,7,reverse,-3.101840714546838,1784188190.8925939,0.230753504
1,0,forward,-3.101840714546838,1784188299.321561,0.135569778
1,1,forward,-0.49077119052486373,1784188300.4647849,1.15443783
1,2,forward,2.12029833349711,1784188301.611058,1.43596716
1,3,forward,4.731367857519084,1784188302.7522051,0.417099108
1,4,reverse,4.731367857519084,1784188303.905709,0.406374182
1,5,reverse,2.12029833349711,1784188305.0451531,1.38636437
1,6,reverse,-0.49077119052486373,1784188306.1964648,1.19599692
1,7,reverse,-3.101840714546838,1784188307.33468,0.165063327
2,0,forward,-3.101840714546838,1784188419.317486,0.120823004
2,1,forward,-0.49077119052486373,1784188420.468382,1.10751627
2,2,forward,2.12029833349711,1784188421.607208,1.40915484
2,3,forward,4.731367857519084,1784188422.7517161,1.42792346
2,4,reverse,4.731367857519084,1784188423.901694,0.44257081
2,5,reverse,2.12029833349711,1784188425.048127,1.422561
2,6,reverse,-0.49077119052486373,1784188426.2016199,1.42926408
2,7,reverse,-3.101840714546838,1784188427.348711,0.1543384
3,0,forward,-3.101840714546838,1784188539.313985,0.107416846
3,1,forward,-0.49077119052486373,1784188540.461758,1.07802273
3,2,forward,2.12029833349711,1784188541.605526,1.08874765
3,3,forward,4.731367857519084,1784188542.748071,1.11287874
3,4,reverse,4.731367857519084,1784188543.9054668,0.493514212
3,5,reverse,2.12029833349711,1784188545.052824,0.4586582
3,6,reverse,-0.49077119052486373,1784188546.205962,1.1437129
3,7,reverse,-3.101840714546838,1784188547.3594172,0.116801157
4,0,forward,-3.101840714546838,1784188659.329513,0.075242065
4,1,forward,-0.49077119052486373,1784188660.4755468,1.05255102
4,2,forward,2.12029833349711,1784188661.6187851,1.46546071
4,3,forward,4.731367857519084,1784188662.7698162,1.45205455
4,4,reverse,4.731367857519084,1784188663.918828,0.500217291
4,5,reverse,2.12029833349711,1784188665.060519,1.4480327
4,6,reverse,-0.49077119052486373,1784188666.198923,1.46412009
4,7,reverse,-3.101840714546838,1784188667.3380742,0.131547931
5,0,forward,-3.101840714546838,1784188779.328545,0.0846263759
5,1,forward,-0.49077119052486373,1784188780.4868212,1.03646363
5,2,forward,2.12029833349711,1784188781.630632,1.43462654
5,3,forward,4.731367857519084,1784188782.771453,0.560545005
5,4,reverse,4.731367857519084,1784188783.920636,0.555182542
5,5,reverse,2.12029833349711,1784188785.068406,0.527029609
5,6,reverse,-0.49077119052486373,1784188786.193485,1.05657287
5,7,reverse,-3.101840714546838,1784188787.338919,0.0966919187
