bias,dc_dmm,dc_board,dir
-9.0,1.47484502,1.026334,up
-8.88,1.4735044,1.2,up
-8.76,1.50970103,1.2,up
-8.64,1.49093241,1.2,up
-8.52,1.46412009,1.2,up
-8.4,1.44267024,1.2,up
-8.28,1.44401085,1.2,up
-8.16,1.44401085,1.2,up
-8.04,1.40513299,1.2,up
-7.92,1.37027698,1.2,up
-7.8,1.37698006,1.2,up
-7.68,1.3381022,1.2,up
-7.5600000000000005,1.29252126,1.2,up
-7.4399999999999995,1.30860865,1.2,up
-7.32,1.2281717,1.2,up
-7.2,1.21744677,1.192218,up
-7.08,1.16650337,1.154544,up
-6.96,1.11958182,1.114285,up
-6.84,1.10215381,1.07164,up
-6.720000000000001,1.04584795,1.028877,up
-6.6,0.970773457,0.983082,up
-6.48,0.92787375,0.936648,up
-6.36,0.88899589,0.887529,up
-6.24,0.855480493,0.838996,up
-6.12,0.803196475,0.789649,up
-6.0,0.738846914,0.739789,up
-5.88,0.675837969,0.689874,up
-5.76,0.640981956,0.640028,up
-5.640000000000001,0.60746656,0.59033,up
-5.52,0.548479462,0.541505,up
-5.4,0.506920371,0.492976,up
-5.28,0.443911426,0.446223,up
-5.16,0.36481509,0.400317,up
-5.04,0.3487277,0.355928,up
-4.92,0.313871687,0.313145,up
-4.8,0.279015675,0.272493,up
-4.68,0.220028577,0.233848,up
-4.5600000000000005,0.189194413,0.197583,up
-4.44,0.163722711,0.163638,up
-4.32,0.116801157,0.132705,up
-4.2,0.115460541,0.104808,up
-4.08,0.075242065,0.079902,up
-3.96,0.0618359064,0.057883,up
-3.84,0.0430672844,0.039417,up
-3.7200000000000006,0.0269798941,0.024388,up
-3.6000000000000005,0.0363642051,0.012886,up
-3.4800000000000004,0.018936199,0.004922,up
-3.3600000000000003,0.0162549673,0.000611,up
-3.24,0.0242986624,4.9e-05,up
-3.12,-0.00251338351,0.003176,up
-3.0,0.0350235893,0.009968,up
-2.88,0.0363642051,0.020419,up
-2.76,0.0484297478,0.034401,up
-2.6400000000000006,0.0631765222,0.051909,up
-2.5200000000000005,0.0966919187,0.072838,up
-2.4000000000000004,0.143613474,0.097403,up
-2.2800000000000002,0.139591626,0.12478,up
-2.16,0.197238108,0.155462,up
-2.04,0.202600571,0.189192,up
-1.92,0.260247053,0.225773,up
-1.8000000000000007,0.265609517,0.26471,up
-1.6800000000000006,0.317893535,0.306288,up
-1.5600000000000005,0.383583712,0.350304,up
-1.4400000000000004,0.43586773,0.39622,up
-1.3200000000000003,0.514964066,0.44396,up
-1.2000000000000002,0.506920371,0.492816,up
-1.08,0.576632395,0.543175,up
-0.9600000000000009,0.636960109,0.594625,up
-0.8399999999999999,0.669134889,0.646945,up
-0.7200000000000006,0.738846914,0.69933,up
-0.5999999999999996,0.805877707,0.75245,up
-0.4800000000000004,0.848777414,0.805558,up
-0.35999999999999943,0.899720817,0.857533,up
-0.2400000000000002,0.957367299,0.909531,up
-0.120000000000001,1.01367316,0.959673,up
0.0,1.06193534,1.009579,up
0.11999999999999922,1.06863841,1.056653,up
0.2400000000000002,1.14505352,1.104499,up
0.35999999999999943,1.2027,1.149104,up
0.4800000000000004,1.20404062,1.190523,up
0.5999999999999996,1.26302771,1.2,up
0.7199999999999989,1.29788373,1.2,up
0.8399999999999999,1.33005851,1.2,up
0.9599999999999991,1.36893637,1.2,up
1.08,1.38636437,1.2,up
1.1999999999999993,1.42390162,1.2,up
1.3200000000000003,1.42658285,1.2,up
1.4399999999999995,1.45071393,1.2,up
1.5599999999999987,1.46680132,1.2,up
1.6799999999999997,1.48422933,1.2,up
1.799999999999999,1.4989761,1.2,up
1.92,1.46546071,1.2,up
2.039999999999999,1.4735044,1.2,up
2.16,1.48020748,1.2,up
2.2799999999999994,1.48825118,1.2,up
2.4000000000000004,1.42122038,1.2,up
2.5199999999999996,1.42926408,1.2,up
2.639999999999999,1.41049546,1.2,up
2.76,1.38770499,1.2,up
2.879999999999999,1.35150836,1.2,up
3.0,1.32469604,1.2,up
3.119999999999999,1.29788373,1.2,up
3.24,1.22951232,1.2,up
3.3599999999999994,1.1772283,1.192122,up
3.4800000000000004,1.16650337,1.152396,up
3.5999999999999996,1.11421935,1.108244,up
3.719999999999999,1.05791349,1.061624,up
3.84,1.0163544,1.01306,up
3.959999999999999,0.950664219,0.963463,up
4.08,0.890336506,0.912219,up
4.199999999999999,0.859502341,0.860566,up
4.32,0.804537091,0.807248,up
4.4399999999999995,0.762977999,0.753618,up
4.559999999999999,0.675837969,0.700671,up
4.68,0.638300725,0.647485,up
4.799999999999999,0.573951164,0.594305,up
4.92,0.52971084,0.541999,up
5.039999999999999,0.510942218,0.490903,up
5.16,0.472064358,0.44089,up
5.279999999999999,0.394308639,0.392369,up
5.399999999999999,0.327277846,0.345276,up
5.52,0.291081218,0.301008,up
5.639999999999999,0.272312596,0.258594,up
5.76,0.202600571,0.218214,up
5.879999999999999,0.185172565,0.181054,up
6.0,0.1543384,0.147017,up
6.119999999999999,0.119482388,0.11615,up
6.24,0.103394998,0.088594,up
6.359999999999999,0.0631765222,0.064465,up
6.479999999999999,0.0551328271,0.044102,up
6.6,0.0175955831,0.027464,up
6.719999999999999,0.0216174307,0.014824,up
6.84,0.00955188798,0.006053,up
6.959999999999999,0.0242986624,0.001318,up
7.079999999999998,0.0122331197,0.000758,up
7.199999999999999,0.0108925038,0.004207,up
7.32,0.00821127212,0.011705,up
7.439999999999998,0.0430672844,0.023207,up
7.559999999999999,0.047089132,0.038597,up
7.68,0.0698796015,0.057846,up
7.800000000000001,0.0913294552,0.080772,up
7.919999999999998,0.128866699,0.107447,up
8.04,0.175788254,0.137585,up
8.16,0.187853797,0.170965,up
8.280000000000001,0.237456584,0.207644,up
8.399999999999999,0.245500279,0.247214,up
8.52,0.335321541,0.289618,up
8.64,0.368836938,0.334491,up
8.759999999999998,0.394308639,0.381394,up
8.879999999999999,0.480108054,0.430596,up
9.0,0.502898523,0.481478,up
9.0,0.53641392,0.50158,down
8.879999999999999,0.464020663,0.472443,down
8.759999999999998,0.427824035,0.429135,down
8.64,0.370177553,0.386222,down
8.52,0.347387084,0.344587,down
8.399999999999999,0.321915383,0.305208,down
8.280000000000001,0.253543974,0.266686,down
8.16,0.194556876,0.229922,down
8.04,0.218687962,0.195266,down
7.919999999999998,0.151657169,0.163093,down
7.800000000000001,0.123504236,0.133394,down
7.68,0.0913294552,0.106317,down
7.559999999999999,0.0725608332,0.081935,down
7.439999999999998,0.075242065,0.060554,down
7.32,0.0403860527,0.042318,down
7.199999999999999,0.0444079002,0.027206,down
7.079999999999998,0.0323423575,0.015357,down
6.959999999999999,0.0242986624,0.006937,down
6.84,-0.0078758498,0.001988,down
6.719999999999999,0.00418965009,0.0005,down
6.6,0.0068708818,0.002498,down
6.479999999999999,0.0256392783,0.008022,down
6.359999999999999,0.0417266685,0.017014,down
6.24,0.0631765222,0.029433,down
6.119999999999999,0.0913294552,0.045283,down
6.0,0.0551328271,0.064491,down
5.879999999999999,0.123504236,0.086948,down
5.76,0.115460541,0.112563,down
5.639999999999999,0.155679016,0.141374,down
5.52,0.17712887,0.173228,down
