window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,54,0,sentinel,down,60,27,0,3.4258330955080973,1784280689.152909,1784280690.169339,1784280689.661124,1.108307,-0.28092,-0.47682,1e-06,0.001835,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3985987,4060427,0,0,0,0,1
1,54,1,sentinel,down,60,27,0,3.4258330955080973,1784280690.169555,1784280691.18333,1784280690.6764426,1.107403,-0.281076,-0.477169,-2.6e-05,0.001754,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4006227,4112171,0,0,0,0,1
2,54,2,sentinel,down,60,27,0,3.4258330955080973,1784280691.1835752,1784280692.204266,1784280691.6939206,1.105653,-0.281016,-0.477034,4e-06,0.001772,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4005634,4166371,0,0,0,0,1
3,54,3,sentinel,down,60,27,0,3.4258330955080973,1784280692.204511,1784280693.22368,1784280692.7140956,1.104816,-0.281215,-0.477484,-3.5e-05,0.001749,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4059919,4119454,0,0,0,0,1
4,55,0,sentinel,up,60,27,1,3.4258330955080973,1784280702.1383061,1784280703.162339,1784280702.6503224,1.098977,-0.283001,-0.480532,0.000123,0.001689,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4033157,4110393,0,0,0,0,1
5,55,1,sentinel,up,60,27,1,3.4258330955080973,1784280703.162554,1784280704.173978,1784280703.668266,1.0991,-0.283312,-0.481159,1.6e-05,0.001714,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4072198,4132665,0,0,0,0,1
6,55,2,sentinel,up,60,27,1,3.4258330955080973,1784280704.1742249,1784280705.191929,1784280704.6830769,1.097273,-0.283075,-0.480817,0.000102,0.001724,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3986071,4134020,0,0,0,0,1
7,55,3,sentinel,up,60,27,1,3.4258330955080973,1784280705.1921458,1784280706.21421,1784280705.703178,1.097094,-0.283278,-0.481327,0.000124,0.001692,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4109207,4117591,0,0,0,0,1
8,56,0,formal,up,73,28,0,5.123028286122381,1784280729.348555,1784280730.367245,1784280729.8579001,0.369291,-0.27995,-0.473247,0.004079,-0.00589,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3983022,3960834,0,0,0,0,1
9,56,1,formal,up,73,28,0,5.123028286122381,1784280730.3674629,1784280731.3855,1784280730.8764815,0.367958,-0.279457,-0.472459,0.00405,-0.005906,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3990983,3941695,0,0,0,0,1
10,56,2,formal,up,73,28,0,5.123028286122381,1784280731.385726,1784280732.4042182,1784280731.894972,0.367243,-0.279402,-0.472478,0.004071,-0.005832,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3967694,3929923,0,0,0,0,1
11,56,3,formal,up,73,28,0,5.123028286122381,1784280732.404427,1784280733.423323,1784280732.913875,0.365952,-0.279014,-0.471759,0.004084,-0.005877,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3960496,3932295,0,0,0,0,1
12,57,0,formal,down,73,28,1,5.123028286122381,1784280742.3241348,1784280743.343703,1784280742.833919,0.35794,-0.276998,-0.46857,0.004027,-0.005909,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3968626,3898928,0,0,0,0,1
13,57,1,formal,down,73,28,1,5.123028286122381,1784280743.343912,1784280744.363018,1784280743.853465,0.357163,-0.276721,-0.468276,0.004125,-0.00589,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3970235,3905957,0,0,0,0,1
14,57,2,formal,down,73,28,1,5.123028286122381,1784280744.3632371,1784280745.3801768,1784280744.871707,0.356471,-0.276521,-0.468043,0.004108,-0.005986,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3978280,3878942,0,0,0,0,1
15,57,3,formal,down,73,28,1,5.123028286122381,1784280745.3804228,1784280746.395044,1784280745.8877335,0.355757,-0.276518,-0.467736,0.004122,-0.005867,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3959649,3889358,0,0,0,0,1
16,58,0,formal,down,7,29,0,-3.4935011431501337,1784280844.9225001,1784280845.938431,1784280845.4304657,0.00692,0.047675,0.081008,0.002667,-0.0052,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-775822,712391,0,0,0,0,1
17,58,1,formal,down,7,29,0,-3.4935011431501337,1784280845.938619,1784280846.950586,1784280846.4446025,0.006708,0.047023,0.079901,0.002692,-0.005201,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-781242,698418,0,0,0,0,1
18,58,2,formal,down,7,29,0,-3.4935011431501337,1784280846.950803,1784280847.971877,1784280847.46134,0.006485,0.046385,0.078873,0.002693,-0.005219,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-759223,687747,0,0,0,0,1
19,58,3,formal,down,7,29,0,-3.4935011431501337,1784280847.972092,1784280848.9857721,1784280848.478932,0.00627,0.045844,0.077961,0.002699,-0.00523,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-760832,675976,0,0,0,0,1
20,59,0,formal,up,7,29,1,-3.4935011431501337,1784280857.889266,1784280858.905867,1784280858.3975666,0.004674,0.040702,0.069303,0.00276,-0.005284,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-687070,615763,0,0,0,0,1
21,59,1,formal,up,7,29,1,-3.4935011431501337,1784280858.906083,1784280859.930335,1784280859.418209,0.004544,0.040271,0.06854,0.002764,-0.005286,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-680972,596369,0,0,0,0,1
22,59,2,formal,up,7,29,1,-3.4935011431501337,1784280859.930596,1784280860.947619,1784280860.4391074,0.004427,0.039838,0.067798,0.002777,-0.005304,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-683343,591119,0,0,0,0,1
23,59,3,formal,up,7,29,1,-3.4935011431501337,1784280860.947872,1784280861.964227,1784280861.4560494,0.004302,0.039381,0.067062,0.002768,-0.005305,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-675976,594422,0,0,0,0,1
24,60,0,formal,up,34,30,0,0.031442714279531714,1784280906.4007301,1784280907.4132822,1784280906.9070063,1.165468,0.264097,0.449593,-0.000797,0.000387,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3896641,3841002,0,0,0,0,1
25,60,1,formal,up,34,30,0,0.031442714279531714,1784280907.413533,1784280908.4288168,1784280907.921175,1.166669,0.264132,0.449672,-0.000794,0.000412,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3788580,3835666,0,0,0,0,1
26,60,2,formal,up,34,30,0,0.031442714279531714,1784280908.429067,1784280909.447802,1784280908.9384346,1.166649,0.263933,0.449227,-0.000767,0.00041,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3785531,3765884,0,0,0,0,1
27,60,3,formal,up,34,30,0,0.031442714279531714,1784280909.4480472,1784280910.464393,1784280909.9562201,1.167234,0.263859,0.449236,-0.000759,0.000436,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3779010,3808651,0,0,0,0,1
28,61,0,formal,down,34,30,1,0.031442714279531714,1784280919.359318,1784280920.372842,1784280919.86608,1.169582,0.262705,0.447521,-0.000766,0.000409,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3810937,3780535,0,0,0,0,1
29,61,1,formal,down,34,30,1,0.031442714279531714,1784280920.373062,1784280921.394489,1784280920.8837755,1.171661,0.262314,0.446994,-0.00087,0.000291,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3763174,6636705,0,0,0,0,1
30,61,2,formal,down,34,30,1,0.031442714279531714,1784280921.394686,1784280922.406207,1784280921.9004464,1.169535,0.262422,0.447266,-0.000807,0.000485,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3770880,3774522,0,0,0,0,1
31,61,3,formal,down,34,30,1,0.031442714279531714,1784280922.4064808,1784280923.419478,1784280922.9129794,1.169752,0.262488,0.44726,-0.000802,0.000458,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3790951,3776724,0,0,0,0,1
32,62,0,formal,down,46,31,0,1.5980844286927152,1784280947.9749372,1784280948.987232,1784280948.4810846,1.2,0.008967,0.015339,-0.003143,0.005706,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-222982,325454,0,0,0,0,1
33,62,1,formal,down,46,31,0,1.5980844286927152,1784280948.987458,1784280950.000532,1784280949.493995,1.2,0.008705,0.014876,-0.003145,0.005717,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-238057,321474,0,0,0,0,1
34,62,2,formal,down,46,31,0,1.5980844286927152,1784280950.000812,1784280951.0195808,1784280950.5101964,1.2,0.008401,0.014352,-0.003143,0.005693,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-273964,344001,0,0,0,0,1
35,62,3,formal,down,46,31,0,1.5980844286927152,1784280951.019812,1784280952.0310972,1784280951.5254545,1.2,0.008148,0.013945,-0.003119,0.005687,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-310634,338665,0,0,0,0,1
36,63,0,formal,up,46,31,1,1.5980844286927152,1784280960.9540212,1784280961.964818,1784280961.4594197,1.2,0.006315,0.010874,-0.00317,0.0057,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-280400,283534,0,0,0,0,1
37,63,1,formal,up,46,31,1,1.5980844286927152,1784280961.96503,1784280962.9763358,1784280962.4706829,1.2,0.006132,0.01053,-0.00312,0.005707,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-264733,332653,0,0,0,0,1
38,63,2,formal,up,46,31,1,1.5980844286927152,1784280962.9765708,1784280963.991294,1784280963.4839325,1.2,0.005925,0.010242,-0.003125,0.005729,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-300979,350691,0,0,0,0,1
39,63,3,formal,up,46,31,1,1.5980844286927152,1784280963.9915059,1784280965.0151129,1784280964.5033092,1.2,0.005761,0.009969,-0.003129,0.005726,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-240004,285736,0,0,0,0,1
40,64,0,formal,up,77,32,0,5.6452421909267745,1784281013.938483,1784281014.971665,1784281014.4550738,0.18978,-0.215526,-0.364174,0.002006,-0.002612,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3050698,3080508,0,0,0,0,1
41,64,1,formal,up,77,32,0,5.6452421909267745,1784281014.9718678,1784281015.9997609,1784281015.4858143,0.188748,-0.214965,-0.363388,0.002054,-0.002615,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3039265,3062978,0,0,0,0,1
42,64,2,formal,up,77,32,0,5.6452421909267745,1784281015.999986,1784281017.026603,1784281016.5132945,0.187777,-0.214575,-0.362716,0.002064,-0.0026,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3037741,3059336,0,0,0,0,1
43,64,3,formal,up,77,32,0,5.6452421909267745,1784281017.026865,1784281018.0552268,1784281017.541046,0.186774,-0.214041,-0.361864,0.002028,-0.002604,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3040789,3053493,0,0,0,0,1
44,65,0,formal,down,77,32,1,5.6452421909267745,1784281027.046171,1784281028.068904,1784281027.5575376,0.179319,-0.210231,-0.35568,0.002046,-0.002678,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2984218,2989299,0,0,0,0,1
45,65,1,formal,down,77,32,1,5.6452421909267745,1784281028.069188,1784281029.097516,1784281028.583352,0.178785,-0.209995,-0.355471,0.002047,-0.002728,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2989045,2980153,0,0,0,0,1
46,65,2,formal,down,77,32,1,5.6452421909267745,1784281029.097737,1784281030.1314838,1784281029.6146104,0.178143,-0.209704,-0.354808,0.002048,-0.002686,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2972362,2980238,0,0,0,0,1
47,65,3,formal,down,77,32,1,5.6452421909267745,1784281030.131725,1784281031.155335,1784281030.64353,0.177369,-0.209207,-0.354092,0.002056,-0.002703,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2991586,2965587,0,0,0,0,1
48,66,0,formal,down,3,33,0,-4.0157150479545285,1784281142.1207879,1784281143.1386502,1784281142.629719,0.00815,-0.050994,-0.086728,0.00285,-0.005085,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-840523,756090,0,0,0,0,1
49,66,1,formal,down,3,33,0,-4.0157150479545285,1784281143.138897,1784281144.1695292,1784281143.654213,0.008402,-0.051672,-0.08787,0.002832,-0.005074,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-840777,765490,0,0,0,0,1
