dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
245,15,pre,5,1784346337.329345,1784346337.539479,1784346337.434412,1.59952229
246,15,pre,6,1784346337.5397062,1784346337.743207,1784346337.6414566,1.58075367
247,15,pre,7,1784346337.743424,1784346337.953558,1784346337.848491,1.58477552
248,15,post,0,1784346356.644654,1784346356.8548732,1784346356.7497635,1.59818168
249,15,post,1,1784346356.8550751,1784346357.0624409,1784346356.9587579,1.6169503
250,15,post,2,1784346357.062751,1784346357.2710452,1784346357.1668983,1.61158784
251,15,post,3,1784346357.2712991,1784346357.4715068,1784346357.371403,1.57136936
252,15,post,4,1784346357.4717062,1784346357.681628,1784346357.576667,1.58209429
253,15,post,5,1784346357.681823,1784346357.89194,1784346357.7868814,1.57002875
254,15,post,6,1784346357.892121,1784346358.1022232,1784346357.997172,1.59952229
255,15,post,7,1784346358.102464,1784346358.303461,1784346358.2029624,1.59013798
256,16,pre,0,1784346370.5715,1784346370.781355,1784346370.6764274,1.69470602
257,16,pre,1,1784346370.781641,1784346370.985172,1784346370.8834066,1.73224326
258,16,pre,2,1784346370.985387,1784346371.1936011,1784346371.0894942,1.6759374
259,16,pre,3,1784346371.193814,1784346371.4039738,1784346371.298894,1.71749649
260,16,pre,4,1784346371.404212,1784346371.604789,1784346371.5045004,1.70811218
261,16,pre,5,1784346371.605015,1784346371.8133261,1784346371.7091706,1.70006848
262,16,pre,6,1784346371.8135612,1784346372.0212412,1784346371.9174013,1.69470602
263,16,pre,7,1784346372.0215108,1784346372.229444,1784346372.1254773,1.68666232
264,16,post,0,1784346390.904578,1784346391.114733,1784346391.0096555,1.70811218
265,16,post,1,1784346391.114965,1784346391.320891,1784346391.217928,1.69068417
266,16,post,2,1784346391.32114,1784346391.521496,1784346391.421318,1.70945279
267,16,post,3,1784346391.5217059,1784346391.726984,1784346391.6243448,1.6933654
268,16,post,4,1784346391.7272651,1784346391.9283898,1784346391.8278275,1.68129986
269,16,post,5,1784346391.928576,1784346392.138668,1784346392.033622,1.70274971
270,16,post,6,1784346392.1388748,1784346392.3458161,1784346392.2423453,1.71347464
271,16,post,7,1784346392.346014,1784346392.556129,1784346392.4510715,1.70409033
272,17,pre,0,1784346401.91968,1784346402.12991,1784346402.024795,1.68666232
273,17,pre,1,1784346402.130164,1784346402.340296,1784346402.23523,1.68800294
274,17,pre,2,1784346402.340498,1784346402.5506291,1784346402.4455636,1.68934356
275,17,pre,3,1784346402.5507991,1784346402.7609642,1784346402.6558816,1.7268808
276,17,pre,4,1784346402.76118,1784346402.9646451,1784346402.8629127,1.69202479
277,17,pre,5,1784346402.964832,1784346403.171493,1784346403.0681624,1.72554018
278,17,pre,6,1784346403.171734,1784346403.373047,1784346403.2723906,1.70677156
279,17,pre,7,1784346403.373236,1784346403.576747,1784346403.4749913,1.70677156
280,17,post,0,1784346422.254572,1784346422.461836,1784346422.358204,1.68666232
281,17,post,1,1784346422.462108,1784346422.668611,1784346422.5653596,1.70543095
282,17,post,2,1784346422.6688309,1784346422.872066,1784346422.7704484,1.69470602
283,17,post,3,1784346422.872277,1784346423.0732448,1784346422.972761,1.71883711
284,17,post,4,1784346423.0735831,1784346423.276532,1784346423.1750574,1.68666232
285,17,post,5,1784346423.2767282,1784346423.486887,1784346423.3818076,1.70409033
286,17,post,6,1784346423.487124,1784346423.689264,1784346423.588194,1.7014091
287,17,post,7,1784346423.689436,1784346423.890749,1784346423.7900925,1.69872787
288,18,pre,0,1784346451.94329,1784346452.144263,1784346452.0437765,1.04316671
289,18,pre,1,1784346452.144486,1784346452.354676,1784346452.2495809,1.0418261
290,18,pre,2,1784346452.354881,1784346452.565044,1784346452.4599624,1.02171686
291,18,pre,3,1784346452.565231,1784346452.775388,1784346452.6703095,1.04852918
292,18,pre,4,1784346452.7757068,1784346452.9769359,1784346452.8763213,1.02439809
293,18,pre,5,1784346452.9771452,1784346453.178622,1784346453.0778837,1.03646363
294,18,pre,6,1784346453.178835,1784346453.388983,1784346453.2839088,1.04852918
295,18,pre,7,1784346453.3892329,1784346453.597456,1784346453.4933443,1.02841994
296,18,post,0,1784346472.26243,1784346472.469782,1784346472.366106,1.00965132
297,18,post,1,1784346472.46995,1784346472.6781828,1784346472.5740664,1.01903563
