role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
formal,up,6,54,0,108,-3.624054619351232,-3.754608095552331,0.5,1784282561.381707,1784282562.814673,0,True,1784282566.9038742,1784282567.7788212,1784282567.7791228,1784282567.98926,1784282567.8841915,0.0202768148,1784282567.9892638,1784282572.118884,1784282570.0589647,1784282572.1190941,1784282572.329262,1784282572.224178,0.00955188798,0.5011013708945937,0.014902539267753805,-0.00059625,0.013629,0.023051000000000002,0.00344325,-0.00647675,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-364156,254232,0,0,0,0,4
formal,down,6,54,1,109,-3.624054619351232,-3.4935011431501333,0.5,1784282574.5020318,1784282575.927412,1,True,1784282580.071847,1784282580.946529,1784282580.946767,1784282581.1551201,1784282581.0509436,0.00821127212,1784282581.155124,1784282585.284874,1784282583.225602,1784282585.285089,1784282585.495306,1784282585.3901975,0.018936199,0.5011594959382203,0.01358617106915507,-0.0009927500000000001,0.0079775,0.01349775,0.00349525,-0.00652375,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-278961,191817,0,0,0,0,4
formal,down,74,55,0,110,5.2535817623234795,5.384135238524578,0.5,1784282685.388521,1784282686.832923,2,True,1784282690.9621298,1784282691.828116,1784282691.8283432,1784282692.0296571,1784282691.9290001,0.38760556,1784282692.02966,1784282696.1415548,1784282694.0884795,1784282696.141779,1784282696.348036,1784282696.2449074,0.363474474,0.5003535200392747,0.3755314861775295,0.3728675,-0.30467124999999995,-0.5139495,0.00483025,-0.0072257499999999995,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4341081,4286712,0,0,0,0,4
formal,up,74,55,1,111,5.2535817623234795,5.123028286122381,0.5,1784282698.5139961,1784282699.9591382,3,True,1784282704.0881321,1784282704.957178,1784282704.957404,1784282705.167565,1784282705.0624845,0.386264944,1784282705.167568,1784282709.273521,1784282707.230486,1784282709.273816,1784282709.481288,1784282709.377552,0.384924328,0.5024258365446589,0.3855913838847148,0.35940225,-0.30051925,-0.5073847499999999,0.004908,-0.007268999999999999,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4278412,4209053,0,0,0,0,4
formal,up,44,56,0,112,1.3369774762905182,1.2064240000894193,0.5,1784282754.741477,1784282756.180665,4,True,1784282760.3253279,1784282761.193301,1784282761.19354,1784282761.399501,1784282761.2965207,1.69604664,1784282761.399505,1784282765.529144,1784282763.465133,1784282765.529372,1784282765.7395358,1784282765.6344538,1.69202479,0.499918327460715,1.6940360434747022,1.2,0.037541,0.06417275,-0.0037329999999999998,0.0067139999999999995,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-759308,821977,0,0,0,0,4
formal,down,44,56,1,113,1.3369774762905182,1.4675309524916171,0.5,1784282767.908184,1784282769.3555179,5,True,1784282773.469743,1784282774.344466,1784282774.344675,1784282774.54962,1784282774.4471474,1.69470602,1784282774.549622,1784282778.6764128,1784282776.6048074,1784282778.6766589,1784282778.878619,1784282778.777639,1.69738725,0.49824829032541157,1.6960419382634693,1.2,0.039500999999999994,0.06754624999999999,-0.0037345,0.0067285,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-697656,901075,0,0,0,0,4
formal,down,36,57,0,114,0.29254966668172866,0.4231031428828276,0.5,1784282788.2332091,1784282789.67397,6,True,1784282793.802942,1784282794.6830668,1784282794.683249,1784282794.891593,1784282794.787421,1.46680132,1784282794.891596,1784282799.012747,1784282796.962161,1784282799.01301,1784282799.2192159,1784282799.116113,1.51238226,0.5024012095275077,1.4897012393874007,1.2,0.2409485,0.40994474999999997,-0.00433975,0.006572499999999999,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3477692,3626488,0,0,0,0,4
formal,up,36,57,1,115,0.29254966668172866,0.16199619048062974,0.5,1784282801.3906581,1784282802.842989,7,True,1784282806.95079,1784282807.826116,1784282807.826354,1784282808.036505,1784282807.9314294,1.49629487,1784282808.036507,1784282812.1327848,1784282810.0831385,1784282812.1330502,1784282812.343207,1784282812.2381287,1.48422933,0.4996190683078451,1.490266696146569,1.2,0.24305575000000001,0.41399525,-0.00437825,0.006567,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3575337,3700336,0,0,0,0,4
formal,up,31,58,0,116,-0.36021771432376504,-0.49077119052486395,0.5,1784282821.6779132,1784282823.111049,8,True,1784282827.2455502,1784282828.1169221,1784282828.117193,1784282828.326682,1784282828.2219377,1.17990953,1784282828.326685,1784282832.431376,1784282830.3810163,1784282832.431571,1784282832.6374059,1784282832.5344884,1.22280924,0.5006500112311105,1.2013872702933113,1.19832125,0.32903475,0.559068,-0.004811749999999999,0.0069445,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4648158,4787469,0,0,0,0,4
formal,down,31,58,1,117,-0.36021771432376504,-0.22966423812266612,0.5,1784282834.8145401,1784282836.252364,9,True,1784282840.408427,1784282841.275678,1784282841.275869,1784282841.4860249,1784282841.3809469,1.16650337,1784282841.486028,1784282845.574663,1784282843.5317326,1784282845.574903,1784282845.779945,1784282845.677424,1.23085293,0.5005928449850342,1.198716299313935,1.193091,0.329919,0.56101025,-0.00476875,0.0068674999999999995,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4681017,4813214,0,0,0,0,4
