window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
18,112,2,formal,up,44,56,0,1.3369774762905182,1784282763.463687,1784282764.499525,1784282763.981606,1.2,0.037657,0.064382,-0.003744,0.006729,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-759308,788864,0,0,0,0,1
19,112,3,formal,up,44,56,0,1.3369774762905182,1784282764.499831,1784282765.529144,1784282765.0144875,1.2,0.037849,0.06475,-0.003728,0.006695,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-666575,780226,0,0,0,0,1
20,113,0,formal,down,44,56,1,1.3369774762905182,1784282774.549622,1784282775.573696,1784282775.0616589,1.2,0.039275,0.067156,-0.003743,0.006738,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-697656,901075,0,0,0,0,1
21,113,1,formal,down,44,56,1,1.3369774762905182,1784282775.573893,1784282776.59906,1784282776.0864766,1.2,0.039456,0.067449,-0.00375,0.006727,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-678601,878040,0,0,0,0,1
22,113,2,formal,down,44,56,1,1.3369774762905182,1784282776.599318,1784282777.6331048,1784282777.1162114,1.2,0.039572,0.067725,-0.003723,0.006714,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-648452,807834,0,0,0,0,1
23,113,3,formal,down,44,56,1,1.3369774762905182,1784282777.633353,1784282778.6764128,1784282778.154883,1.2,0.039701,0.067855,-0.003722,0.006735,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-674705,852041,0,0,0,0,1
24,114,0,formal,down,36,57,0,0.29254966668172866,1784282794.891596,1784282795.9330728,1784282795.4123344,1.2,0.240673,0.409379,-0.004332,0.00658,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3426541,3555012,0,0,0,0,1
25,114,1,formal,down,36,57,0,0.29254966668172866,1784282795.933277,1784282796.966732,1784282796.4500046,1.2,0.240796,0.409648,-0.004363,0.006566,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3470155,3626488,0,0,0,0,1
26,114,2,formal,down,36,57,0,0.29254966668172866,1784282796.966965,1784282797.996338,1784282797.4816513,1.2,0.241033,0.410088,-0.004348,0.006619,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3477692,3531130,0,0,0,0,1
27,114,3,formal,down,36,57,0,0.29254966668172866,1784282797.9965608,1784282799.012747,1784282798.504654,1.2,0.241292,0.410664,-0.004316,0.006525,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3407656,3565344,0,0,0,0,1
28,115,0,formal,up,36,57,1,0.29254966668172866,1784282808.036507,1784282809.057179,1784282808.546843,1.2,0.24304,0.413924,-0.00435,0.006564,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3501235,3700336,0,0,0,0,1
29,115,1,formal,up,36,57,1,0.29254966668172866,1784282809.057373,1784282810.083462,1784282809.5704174,1.2,0.242879,0.413713,-0.004405,0.006575,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3500304,3650116,0,0,0,0,1
30,115,2,formal,up,36,57,1,0.29254966668172866,1784282810.083658,1784282811.1069682,1784282810.595313,1.2,0.243109,0.41411,-0.004371,0.006538,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3575337,3612853,0,0,0,0,1
