sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
33,110,2,-3.366677766269066,-3.2379893397279833,0.1286884265410828,1784282589.107098,1784282590.54777,1784282589.827434,0.00553004041,"[dac] CH_A set to -3.238 V (code=22157)
"
34,110,3,-3.2379893397279833,-3.1093009131869,0.12868842654108326,1784282590.547959,1784282591.9833379,1784282591.2656484,-0.0145787007,"[dac] CH_A set to -3.109 V (code=22579)
"
35,110,4,-3.1093009131869,-2.9806124866458172,0.1286884265410828,1784282591.983579,1784282593.415945,1784282592.6997619,0.00418946738,"[dac] CH_A set to -2.981 V (code=23001)
"
36,110,5,-2.9806124866458172,-2.851924060104734,0.12868842654108326,1784282593.4161952,1784282594.857812,1784282594.1370034,0.0296611258,"[dac] CH_A set to -2.852 V (code=23423)
"
37,110,6,-2.851924060104734,-2.723235633563651,0.1286884265410828,1784282594.8580952,1784282596.291262,1784282595.5746784,-0.0132381305,"[dac] CH_A set to -2.723 V (code=23844)
"
38,110,7,-2.723235633563651,-2.5945472070225684,0.1286884265410828,1784282596.291471,1784282597.724549,1784282597.00801,0.0618359064,"[dac] CH_A set to -2.595 V (code=24266)
"
39,110,8,-2.5945472070225684,-2.465858780481485,0.12868842654108326,1784282597.724752,1784282599.166618,1784282598.445685,0.175788254,"[dac] CH_A set to -2.466 V (code=24687)
"
40,110,9,-2.465858780481485,-2.337170353940402,0.12868842654108326,1784282599.166848,1784282600.623277,1784282599.8950624,0.218687962,"[dac] CH_A set to -2.337 V (code=25109)
"
41,110,10,-2.337170353940402,-2.208481927399319,0.1286884265410828,1784282600.6234848,1784282602.0697,1784282601.3465924,0.261587669,"[dac] CH_A set to -2.208 V (code=25531)
"
42,110,11,-2.208481927399319,-2.079793500858236,0.1286884265410828,1784282602.0699189,1784282603.491743,1784282602.7808309,0.319234151,"[dac] CH_A set to -2.080 V (code=25953)
"
43,110,12,-2.079793500858236,-1.9511050743171532,0.12868842654108303,1784282603.491986,1784282604.916734,1784282604.20436,0.40369295,"[dac] CH_A set to -1.951 V (code=26374)
"
44,110,13,-1.9511050743171532,-1.8224166477760702,0.12868842654108303,1784282604.917137,1784282606.353354,1784282605.6352453,0.410396029,"[dac] CH_A set to -1.822 V (code=26796)
"
45,110,14,-1.8224166477760702,-1.6937282212349871,0.12868842654108303,1784282606.353621,1784282607.793949,1784282607.0737848,0.488151749,"[dac] CH_A set to -1.694 V (code=27218)
"
46,110,15,-1.6937282212349871,-1.565039794693904,0.12868842654108303,1784282607.794187,1784282609.2247,1784282608.5094435,0.531051456,"[dac] CH_A set to -1.565 V (code=27639)
"
47,110,16,-1.565039794693904,-1.4363513681528213,0.1286884265410828,1784282609.224912,1784282610.6517289,1784282609.9383204,0.603444712,"[dac] CH_A set to -1.436 V (code=28061)
"
48,110,17,-1.4363513681528213,-1.307662941611738,0.12868842654108326,1784282610.652003,1784282612.075972,1784282611.3639874,0.681200432,"[dac] CH_A set to -1.308 V (code=28482)
"
49,110,18,-1.307662941611738,-1.1789745150706552,0.1286884265410828,1784282612.0761979,1784282613.5220952,1784282612.7991467,0.74018753,"[dac] CH_A set to -1.179 V (code=28904)
"
50,110,19,-1.1789745150706552,-1.050286088529572,0.12868842654108326,1784282613.52234,1784282614.951008,1784282614.236674,0.831349408,"[dac] CH_A set to -1.050 V (code=29326)
"
51,110,20,-1.050286088529572,-0.9215976619884891,0.1286884265410828,1784282614.9512289,1784282616.3925,1784282615.6718645,0.902402048,"[dac] CH_A set to -0.922 V (code=29748)
"
52,110,21,-0.9215976619884891,-0.7929092354474059,0.12868842654108326,1784282616.392707,1784282617.842539,1784282617.117623,0.919830055,"[dac] CH_A set to -0.793 V (code=30169)
"
53,110,22,-0.7929092354474059,-0.6642208089063231,0.1286884265410828,1784282617.8427641,1784282619.273222,1784282618.557993,0.977476536,"[dac] CH_A set to -0.664 V (code=30591)
"
