repeat_sequence_index,point_ordinal,grid_index,block_index,condition,condition_ordinal,repeat_index,bias,approach_bias,restart_gen,restart_acq,t_restart_start_unix,t_restart_end_unix,t_discard_start_unix,t_discard_end_unix,t_acq_first_attempt_start_unix,discard_read_retries,formal_read_retries,t_dmm_pre1_start_unix,t_dmm_pre1_end_unix,dc_dmm_pre1,t_dmm_pre2_start_unix,t_dmm_pre2_end_unix,dc_dmm_pre2,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post1_start_unix,t_dmm_post1_end_unix,dc_dmm_post1,t_dmm_post2_start_unix,t_dmm_post2_end_unix,dc_dmm_post2,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
10,0,40,0,none,0,10,0.8147635714861234,0.6842100952850247,0,0,1784288237.2763321,1784288237.2763321,1784288238.003575,1784288238.881841,1784288239.302866,0,0,1784288238.882079,1784288239.092454,1.5660069,1784288239.09246,1784288239.302855,1.5660069,1784288239.302866,1784288241.3929868,1784288240.3477092,1784288241.393522,1784288241.599773,1.56332567,1784288241.599778,1784288241.8081129,1.60086291,1.2,0.1940355,0.3328195,-0.0023344999999999998,0.0034825000000000004,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2821872,2906898,0,0,0,0,2
11,0,40,0,none,0,11,0.8147635714861234,0.6842100952850247,0,0,1784288241.808767,1784288241.808767,1784288242.5391018,1784288243.4254348,1784288243.845271,0,0,1784288243.426513,1784288243.635424,1.58745675,1784288243.6354291,1784288243.845259,1.58879737,1784288243.845271,1784288245.920407,1784288244.88232,1784288245.921108,1784288246.130804,1.5834349,1784288246.130809,1784288246.341797,1.5660069,1.2,0.193596,0.332274,-0.0023775000000000003,0.0034835,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2860236,2890130,0,0,0,0,2
12,0,40,1,gen,1,0,0.8147635714861234,0.6842100952850247,1,0,1784288251.880811,1784288254.0821419,1784288254.825967,1784288255.707068,1784288256.130207,0,0,1784288255.7078679,1784288255.9186711,1.59684106,1784288255.918676,1784288256.130193,1.5834349,1784288256.130207,1784288258.201731,1784288257.1664367,1784288258.2022662,1784288258.411693,1.60622537,1784288258.411712,1784288258.623677,1.59550045,1.2,0.19307649999999998,0.331401,-0.0023645000000000003,0.0035045,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2883609,2930780,0,0,0,0,2
13,0,40,1,gen,1,1,0.8147635714861234,0.6842100952850247,1,0,1784288258.625165,1784288260.8259299,1784288261.561582,1784288262.444184,1784288262.865698,0,0,1784288262.444992,1784288262.6552079,1.55930382,1784288262.655214,1784288262.865692,1.59281921,1784288262.865698,1784288264.942716,1784288263.9039617,1784288264.944285,1784288265.149995,1.56868813,1784288265.15,1784288265.3606431,1.58611614,1.2,0.192553,0.3305435,-0.002366,0.0035240000000000002,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2883609,2918670,0,0,0,0,2
14,0,40,1,gen,1,2,0.8147635714861234,0.6842100952850247,1,0,1784288265.361978,1784288267.548289,1784288268.2926679,1784288269.17619,1784288269.593154,0,0,1784288269.176974,1784288269.3867068,1.60220353,1784288269.3867111,1784288269.593141,1.58209429,1784288269.593154,1784288271.677952,1784288270.635278,1784288271.678944,1784288271.888586,1.59013798,1784288271.88859,1784288272.09902,1.60756599,1.2,0.1923855,0.33024050000000005,-0.0023905000000000003,0.0035085,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2861929,2898006,0,0,0,0,2
15,0,40,1,gen,1,3,0.8147635714861234,0.6842100952850247,1,0,1784288272.100516,1784288274.3093781,1784288275.038143,1784288275.91387,1784288276.334186,0,0,1784288275.9140632,1784288276.124427,1.5914786,1784288276.1244311,1784288276.3341749,1.55930382,1784288276.334186,1784288278.4263418,1784288277.3795202,1784288278.4268951,1784288278.6347818,1.59952229,1784288278.6347861,1784288278.846835,1.58477552,1.2,0.192201,0.3300015,-0.002381,0.003548,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2797736,2826022,0,0,0,0,2
16,0,40,1,gen,1,4,0.8147635714861234,0.6842100952850247,1,0,1784288278.8535838,1784288281.035234,1784288281.7701418,1784288282.650114,1784288283.067523,0,0,1784288282.651068,1784288282.859669,1.57270998,1784288282.859672,1784288283.067512,1.58209429,1784288283.067523,1784288285.151705,1784288284.1097517,1784288285.152256,1784288285.362605,1.59013798,1784288285.362609,1784288285.5720232,1.5579632,1.2,0.19173050000000003,0.3292095,-0.0023615,0.003519,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2878274,2901733,0,0,0,0,2
17,0,40,1,gen,1,5,0.8147635714861234,0.6842100952850247,1,0,1784288285.576458,1784288287.77666,1784288288.512086,1784288289.392875,1784288289.8136792,0,0,1784288289.39379,1784288289.603741,1.56868813,1784288289.603745,1784288289.8136709,1.59281921,1784288289.8136792,1784288291.892426,1784288290.8501446,1784288291.8927019,1784288292.097069,1.57539121,1784288292.0970728,1784288292.3103628,1.55662259,1.2,0.19158350000000002,0.32908550000000003,-0.0023610000000000003,0.0035329999999999997,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2904442,2932051,0,0,0,0,2
18,0,40,1,gen,1,6,0.8147635714861234,0.6842100952850247,1,0,1784288292.3116958,1784288294.516055,1784288295.2568672,1784288296.133065,1784288296.550326,0,0,1784288296.133687,1784288296.344021,1.58745675,1784288296.3440251,1784288296.550316,1.58075367,1784288296.550326,1784288298.6351628,1784288297.5935946,1784288298.635759,1784288298.846231,1.57941306,1784288298.8462348,1784288299.05443,1.55394135,1.2,0.1913125,0.328605,-0.002411,0.0035215000000000003,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2822719,2861506,0,0,0,0,2
19,0,40,1,gen,1,7,0.8147635714861234,0.6842100952850247,1,0,1784288299.060096,1784288301.261581,1784288302.0038369,1784288302.888315,1784288303.307483,0,0,1784288302.888524,1784288303.0989141,1.59013798,1784288303.098918,1784288303.307476,1.58745675,1784288303.307483,1784288305.395392,1784288304.3532023,1784288305.3959732,1784288305.605503,1.56332567,1784288305.6055071,1784288305.813869,1.56466628,1.2,0.1907975,0.32772,-0.0023715000000000003,0.0035155,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2818908,2890893,0,0,0,0,2
20,0,40,1,gen,1,8,0.8147635714861234,0.6842100952850247,1,0,1784288305.814548,1784288308.0092301,1784288308.735507,1784288309.618104,1784288310.033893,0,0,1784288309.6190279,1784288309.823701,1.56868813,1784288309.823703,1784288310.0338821,1.57405059,1784288310.033893,1784288312.113976,1784288311.0746648,1784288312.11445,1784288312.3250391,1.61024722,1784288312.325043,1784288312.535019,1.5579632,1.2,0.190827,0.3279185,-0.002391,0.0035235,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2829240,2876326,0,0,0,0,2
21,0,40,1,gen,1,9,0.8147635714861234,0.6842100952850247,1,0,1784288312.536768,1784288314.735028,1784288315.468728,1784288316.349607,1784288316.770584,0,0,1784288316.350108,1784288316.560271,1.58745675,1784288316.5602748,1784288316.7705731,1.59013798,1784288316.770584,1784288318.835166,1784288317.8022966,1784288318.835653,1784288319.044086,1.58075367,1784288319.044089,1784288319.2538218,1.56868813,1.2,0.1904855,0.3272795,-0.0024145,0.0035824999999999997,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2818908,2899700,0,0,0,0,2
22,0,40,1,gen,1,10,0.8147635714861234,0.6842100952850247,1,0,1784288319.255408,1784288321.451929,1784288322.187113,1784288323.071003,1784288323.490657,0,0,1784288323.071527,1784288323.280622,1.54991951,1784288323.2806242,1784288323.4906518,1.59550045,1784288323.490657,1784288325.558861,1784288324.5302315,1784288325.559545,1784288325.7686772,1.58745675,1784288325.768681,1784288325.976237,1.5834349,1.2,0.1903485,0.32719149999999997,-0.0023955,0.003574,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2830087,2862438,0,0,0,0,2
23,0,40,1,gen,1,11,0.8147635714861234,0.6842100952850247,1,0,1784288325.977783,1784288328.1666,1784288328.902577,1784288329.787842,1784288330.208224,0,0,1784288329.7882571,1784288329.998104,1.57673182,1784288329.9981089,1784288330.208213,1.57941306,1784288330.208224,1784288332.293002,1784288331.2520952,1784288332.294399,1784288332.5022562,1.58745675,1784288332.50226,1784288332.712194,1.57002875,1.2,0.1900825,0.32667650000000004,-0.002393,0.0035575,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2783001,2899107,0,0,0,0,2
24,0,40,2,acq,2,0,0.8147635714861234,0.6842100952850247,0,1,1784288338.264301,1784288341.634835,1784288342.369389,1784288343.258126,1784288343.678571,0,0,1784288343.258891,1784288343.468818,1.58209429,1784288343.468823,1784288343.67856,1.56734751,1784288343.678571,1784288345.7701602,1784288344.7237582,1784288345.770373,1784288345.97538,1.59550045,1784288345.975384,1784288346.185109,1.58879737,1.2,0.189572,0.3259135,-0.002412,0.003566,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2828393,2872854,0,0,0,0,2
