transition_discard_index,source_repeat_index,point_ordinal,grid_index,block_index,condition,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,0,0,40,0,none,0.8147635714861234,1784288192.6647968,1784288193.550077,1784288193.107437,1.2,0.198215,0.339222,-0.002306,0.003279,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2953138,3057812,0,0,0,0,1
1,1,0,40,0,none,0.8147635714861234,1784288197.199403,1784288198.078971,1784288197.6391869,1.2,0.197696,0.338682,-0.002303,0.003447,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2886235,2912573,0,0,0,0,1
2,2,0,40,0,none,0.8147635714861234,1784288201.7320561,1784288202.6168902,1784288202.1744733,1.2,0.196768,0.337411,-0.002437,0.003389,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2866926,2924937,0,0,0,0,1
3,3,0,40,0,none,0.8147635714861234,1784288206.255971,1784288207.140295,1784288206.698133,1.2,0.196375,0.336595,-0.002425,0.003417,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2890554,2958897,0,0,0,0,1
4,4,0,40,0,none,0.8147635714861234,1784288210.812323,1784288211.702268,1784288211.2572956,1.2,0.196039,0.336353,-0.002437,0.003503,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2879460,2812048,0,0,0,0,1
5,5,0,40,0,none,0.8147635714861234,1784288215.3374279,1784288216.213856,1784288215.775642,1.2,0.195455,0.335388,-0.002398,0.00343,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2852275,2878952,0,0,0,0,1
6,6,0,40,0,none,0.8147635714861234,1784288219.868704,1784288220.7509918,1784288220.3098478,1.2,0.195258,0.334847,-0.00241,0.00351,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2852868,2872854,0,0,0,0,1
7,7,0,40,0,none,0.8147635714861234,1784288224.404167,1784288225.293303,1784288224.8487349,1.2,0.194872,0.33428,-0.002391,0.003518,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2771314,2947718,0,0,0,0,1
8,8,0,40,0,none,0.8147635714861234,1784288228.949676,1784288229.835758,1784288229.392717,1.2,0.194528,0.334015,-0.002427,0.003506,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2812980,2831865,0,0,0,0,1
9,9,0,40,0,none,0.8147635714861234,1784288233.484471,1784288234.361641,1784288233.9230561,1.2,0.194115,0.333,-0.002434,0.003466,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2849650,2943992,0,0,0,0,1
