dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
0,0,pre,0,1784361495.8018591,1784361496.007019,1784361495.904439,0.257565821
1,0,pre,1,1784361496.007228,1784361496.209483,1784361496.1083555,0.24818151
2,0,pre,2,1784361496.209671,1784361496.414783,1784361496.312227,0.268290748
3,0,pre,3,1784361496.414946,1784361496.620115,1784361496.5175304,0.272312596
4,0,pre,4,1784361496.620301,1784361496.825459,1784361496.72288,0.252203358
5,0,pre,5,1784361496.8256278,1784361497.0275142,1784361496.926571,0.24818151
6,0,pre,6,1784361497.027779,1784361497.229059,1784361497.128419,0.268290748
7,0,pre,7,1784361497.229425,1784361497.434649,1784361497.332037,0.258906437
8,0,post,0,1784361516.0147378,1784361516.219872,1784361516.1173048,0.265609517
9,0,post,1,1784361516.220056,1784361516.421698,1784361516.320877,0.273653212
10,0,post,2,1784361516.422011,1784361516.627247,1784361516.524629,0.268290748
11,0,post,3,1784361516.627451,1784361516.8325849,1784361516.730018,0.280356291
12,0,post,4,1784361516.8327591,1784361517.03515,1784361516.9339547,0.265609517
13,0,post,5,1784361517.035348,1784361517.235957,1784361517.1356525,0.281696907
14,0,post,6,1784361517.236172,1784361517.437773,1784361517.3369725,0.266950132
15,0,post,7,1784361517.437943,1784361517.643123,1784361517.540533,0.266950132
16,1,pre,0,1784361526.950905,1784361527.153766,1784361527.0523355,0.27097198
17,1,pre,1,1784361527.154038,1784361527.359183,1784361527.2566104,0.305827992
18,1,pre,2,1784361527.35945,1784361527.564619,1784361527.4620347,0.288399986
19,1,pre,3,1784361527.567706,1784361527.772606,1784361527.670156,0.25488459
20,1,pre,4,1784361527.772803,1784361527.977947,1784361527.875375,0.297784297
21,1,pre,5,1784361527.9781492,1784361528.183423,1784361528.0807862,0.280356291
22,1,pre,6,1784361528.183632,1784361528.388818,1784361528.2862248,0.276334443
23,1,pre,7,1784361528.389021,1784361528.594198,1784361528.4916096,0.29376245
24,1,post,0,1784361547.177304,1784361547.382447,1784361547.2798755,0.299124913
25,1,post,1,1784361547.382642,1784361547.5840251,1784361547.4833336,0.280356291
26,1,post,2,1784361547.584298,1784361547.789502,1784361547.6869,0.304487376
27,1,post,3,1784361547.789694,1784361547.994006,1784361547.89185,0.300465529
28,1,post,4,1784361547.994221,1784361548.199352,1784361548.0967865,0.29376245
29,1,post,5,1784361548.199599,1784361548.404711,1784361548.302155,0.316552919
30,1,post,6,1784361548.404903,1784361548.610021,1784361548.507462,0.288399986
31,1,post,7,1784361548.610226,1784361548.813298,1784361548.711762,0.299124913
32,2,pre,0,1784361670.4215739,1784361670.622475,1784361670.5220244,0.257565821
33,2,pre,1,1784361670.622655,1784361670.827799,1784361670.7252269,0.277675059
34,2,pre,2,1784361670.8280041,1784361671.033122,1784361670.930563,0.308509224
35,2,pre,3,1784361671.0333009,1784361671.234058,1784361671.1336794,0.288399986
36,2,pre,4,1784361671.23423,1784361671.4393978,1784361671.336814,0.272312596
37,2,pre,5,1784361671.439612,1784361671.643954,1784361671.5417829,0.279015675
38,2,pre,6,1784361671.6442811,1784361671.847637,1784361671.745959,0.317893535
39,2,pre,7,1784361671.847826,1784361672.0519412,1784361671.9498835,0.261587669
40,2,post,0,1784361690.635426,1784361690.84062,1784361690.738023,0.245500279
41,2,post,1,1784361690.840814,1784361691.044087,1784361690.9424505,0.260247053
42,2,post,2,1784361691.04431,1784361691.245815,1784361691.1450624,0.245500279
43,2,post,3,1784361691.24601,1784361691.4511738,1784361691.3485918,0.268290748
44,2,post,4,1784361691.451342,1784361691.656461,1784361691.5539017,0.268290748
45,2,post,5,1784361691.656624,1784361691.8607721,1784361691.758698,0.244159663
46,2,post,6,1784361691.860964,1784361692.063415,1784361691.9621897,0.246840895
47,2,post,7,1784361692.063624,1784361692.268843,1784361692.1662335,0.265609517
48,3,pre,0,1784361701.591563,1784361701.792992,1784361701.6922774,0.252203358
49,3,pre,1,1784361701.793128,1784361701.997088,1784361701.895108,0.250862742
50,3,pre,2,1784361701.997277,1784361702.198773,1784361702.0980248,0.260247053
51,3,pre,3,1784361702.199048,1784361702.399681,1784361702.2993646,0.242819047
52,3,pre,4,1784361702.399873,1784361702.600089,1784361702.499981,0.236115968
53,3,pre,5,1784361702.600328,1784361702.805473,1784361702.7029004,0.229412888
54,3,pre,6,1784361702.805677,1784361703.0095282,1784361702.9076025,0.233434736
55,3,pre,7,1784361703.00971,1784361703.211004,1784361703.110357,0.257565821
56,3,post,0,1784361721.77188,1784361721.977041,1784361721.8744605,0.250862742
57,3,post,1,1784361721.977268,1784361722.1821399,1784361722.0797038,0.225391041
58,3,post,2,1784361722.182379,1784361722.387532,1784361722.2849555,0.256225206
59,3,post,3,1784361722.387715,1784361722.592833,1784361722.490274,0.24818151
60,3,post,4,1784361722.593034,1784361722.793879,1784361722.6934566,0.221369193
61,3,post,5,1784361722.79422,1784361722.9993322,1784361722.8967762,0.268290748
62,3,post,6,1784361722.9995258,1784361723.20465,1784361723.102088,0.226731657
63,3,post,7,1784361723.204843,1784361723.409099,1784361723.306971,0.241478431
64,4,pre,0,1784361819.4804611,1784361819.685229,1784361819.5828452,0.19991934
65,4,pre,1,1784361819.685469,1784361819.890683,1784361819.788076,0.195897492
66,4,pre,2,1784361819.89084,1784361820.09359,1784361819.9922152,0.178469486
67,4,pre,3,1784361820.093811,1784361820.296505,1784361820.195158,0.186513181
68,4,pre,4,1784361820.296688,1784361820.5018198,1784361820.3992538,0.189194413
69,4,pre,5,1784361820.502094,1784361820.707226,1784361820.60466,0.190535029
70,4,pre,6,1784361820.7073522,1784361820.9085472,1784361820.8079495,0.179810102
71,4,pre,7,1784361820.908721,1784361821.1101382,1784361821.0094295,0.198578724
72,4,post,0,1784361839.666997,1784361839.8674262,1784361839.7672114,0.166403943
73,4,post,1,1784361839.867598,1784361840.0727391,1784361839.9701686,0.189194413
74,4,post,2,1784361840.0729458,1784361840.277139,1784361840.1750424,0.171766407
75,4,post,3,1784361840.2773309,1784361840.482497,1784361840.3799138,0.185172565
76,4,post,4,1784361840.4827049,1784361840.684864,1784361840.5837846,0.170425791
77,4,post,5,1784361840.685083,1784361840.8902779,1784361840.7876804,0.179810102
78,4,post,6,1784361840.89049,1784361841.093503,1784361840.9919965,0.185172565
79,4,post,7,1784361841.093685,1784361841.29882,1784361841.1962523,0.175788254
80,5,pre,0,1784361850.629237,1784361850.83163,1784361850.7304335,0.198578724
81,5,pre,1,1784361850.831879,1784361851.0391612,1784361850.9355202,0.158360248
82,5,pre,2,1784361851.0395908,1784361851.249761,1784361851.144676,0.165063327
83,5,pre,3,1784361851.2499552,1784361851.4595048,1784361851.3547301,0.178469486
84,5,pre,4,1784361851.459817,1784361851.661512,1784361851.5606644,0.174447638
85,5,pre,5,1784361851.6617138,1784361851.871857,1784361851.7667854,0.187853797
86,5,pre,6,1784361851.872046,1784361852.0781922,1784361851.975119,0.158360248
87,5,pre,7,1784361852.0783849,1784361852.285135,1784361852.1817598,0.194556876
88,5,post,0,1784361870.997451,1784361871.2029178,1784361871.1001844,0.159700864
89,5,post,1,1784361871.203098,1784361871.406101,1784361871.3045995,0.166403943
90,5,post,2,1784361871.4062788,1784361871.610909,1784361871.508594,0.167744559
91,5,post,3,1784361871.6112099,1784361871.816628,1784361871.713919,0.162382096
92,5,post,4,1784361871.8168252,1784361872.020808,1784361871.9188166,0.178469486
93,5,post,5,1784361872.0209742,1784361872.231078,1784361872.1260262,0.157019632
94,5,post,6,1784361872.2312782,1784361872.432489,1784361872.3318834,0.169085175
95,5,post,7,1784361872.432686,1784361872.636301,1784361872.5344934,0.190535029
96,6,pre,0,1784361943.804424,1784361944.010398,1784361943.907411,1.29922434
97,6,pre,1,1784361944.0105972,1784361944.2207391,1784361944.1156683,1.29386188
98,6,pre,2,1784361944.220951,1784361944.4254808,1784361944.323216,1.28313695
