transition_discard_index,role,direction,grid_index,target_ordinal,pair_position,source_sequence_index,bias,approach_bias,t_target_set_unix,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,read_attempt_count,t_first_attempt_start_unix
0,sentinel,up,0,0,0,0,-4.407375476557824,-4.537928952758923,1784361490.062221,1784361494.1279821,1784361495.801543,1784361494.9647627,0.23929,-0.213325,-0.36434,0.004025,-0.005861,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3138095,3002765,0,0,0,0,1,1,1784361494.1279821
1,sentinel,down,0,0,1,1,-4.407375476557824,-4.276822000356725,1784361521.202865,1784361525.282889,1784361526.950623,1784361526.116756,0.263652,-0.22174,-0.379296,0.00397,-0.0058,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3267837,3127933,0,0,0,0,1,1,1784361525.282889
2,sentinel,down,80,1,0,2,6.036902619530071,6.16745609573117,1784361664.67428,1784361668.75281,1784361670.4213471,1784361669.5870786,0.27218,-0.226618,-0.385095,0.003557,-0.005193,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3260977,3187214,0,0,0,0,1,1,1784361668.75281
3,sentinel,up,80,1,1,3,6.036902619530071,5.906349143328972,1784361695.835296,1784361699.9204638,1784361701.591338,1784361700.7559009,0.238042,-0.214559,-0.365036,0.003594,-0.005223,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3113621,3054593,0,0,0,0,1,1,1784361699.9204638
4,formal,up,18,2,0,4,-2.057412904938048,-2.1879663811391468,1784361813.7356422,1784361817.8140538,1784361819.480224,1784361818.6471388,0.182681,0.190522,0.325063,0.000398,-0.001888,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2754800,2753953,0,0,0,0,1,1,1784361817.8140538
5,formal,down,18,2,1,5,-2.057412904938048,-1.926859428736949,1784361844.868897,1784361848.949395,1784361850.629004,1784361849.7891994,0.16304,0.181203,0.309606,0.000635,-0.002068,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2616674,2584070,0,0,0,0,1,1,1784361848.949395
6,formal,down,62,3,0,6,3.6869400479102943,3.817493524111393,1784361937.970537,1784361942.117953,1784361943.803914,1784361942.9609337,1.2,-0.238341,-0.407778,0.000339,0.000734,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3448644,3482265,0,0,0,0,1,1,1784361942.117953
7,formal,up,62,3,1,7,3.6869400479102943,3.5563865717091954,1784361969.3773818,1784361973.482668,1784361975.162344,1784361974.322506,1.2,-0.24462,-0.418931,0.000518,0.000477,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3554165,3535449,0,0,0,0,1,1,1784361973.482668
8,formal,up,78,4,0,8,5.775795667127873,5.6452421909267745,1784362019.427525,1784362023.565075,1784362025.2328541,1784362024.3989644,0.299273,-0.233436,-0.396819,0.002684,-0.003479,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3328642,3318818,0,0,0,0,1,1,1784362023.565075
9,formal,down,78,4,1,9,5.775795667127873,5.906349143328972,1784362050.828473,1784362054.9604301,1784362056.635158,1784362055.797794,0.272973,-0.22501,-0.38313,0.002756,-0.003668,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3262162,3201526,0,0,0,0,1,1,1784362054.9604301
10,formal,down,2,5,0,10,-4.1462685241556265,-4.015715047954528,1784362187.210695,1784362191.353468,1784362193.033608,1784362192.193538,0.099415,-0.146856,-0.250902,0.002385,-0.00384,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2154535,2083821,0,0,0,0,1,1,1784362191.353468
11,formal,up,2,5,1,11,-4.1462685241556265,-4.276822000356725,1784362218.656729,1784362222.776936,1784362224.451179,1784362223.6140575,0.123106,-0.161687,-0.27659,0.002285,-0.003666,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2366338,2292660,0,0,0,0,1,1,1784362222.776936
12,formal,up,37,6,0,12,0.4231031428828276,0.29254966668172866,1784362295.980136,1784362300.08609,1784362301.757062,1784362300.921576,1.178223,0.257405,0.440685,-0.003843,0.005375,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3715918,3762158,0,0,0,0,1,1,1784362300.08609
13,formal,down,37,6,1,13,0.4231031428828276,0.5536566190839265,1784362327.312106,1784362331.440842,1784362333.127883,1784362332.2843623,1.194791,0.253704,0.43548,-0.003803,0.005461,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3672050,3775030,0,0,0,0,1,1,1784362331.440842
14,formal,down,43,7,0,14,1.2064240000894193,1.3369774762905182,1784362365.8167071,1784362369.9520152,1784362371.621006,1784362370.7865105,1.2,0.155048,0.266263,-0.003885,0.006084,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2217627,2389712,0,0,0,0,1,1,1784362369.9520152
15,formal,up,43,7,1,15,1.2064240000894193,1.0758705238883204,1784362397.143523,1784362401.5683599,1784362403.246575,1784362402.4074674,1.2,0.150904,0.259591,-0.003968,0.006034,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2216441,2293253,0,0,0,0,1,1,1784362401.5683599
16,formal,up,48,8,0,16,1.859191381094913,1.728637904893814,1784362431.6970282,1784362435.785065,1784362437.463768,1784362436.6244164,1.2,0.041688,0.071656,-0.002874,0.004853,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-708580,808173,0,0,0,0,1,1,1784362435.785065
17,formal,down,48,8,1,17,1.859191381094913,1.989744857296012,1784362463.0278049,1784362467.143312,1784362468.837534,1784362467.990423,1.2,0.036724,0.063264,-0.002834,0.004853,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-652348,754396,0,0,0,0,1,1,1784362467.143312
18,formal,down,32,9,0,18,-0.22966423812266612,-0.0991107619215672,1784362513.076284,1784362517.2037451,1784362518.883565,1784362518.043655,0.95854,0.29259,0.500566,-0.001336,0.001347,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4148163,4199484,0,0,0,0,1,1,1784362517.2037451
19,formal,up,32,9,1,19,-0.22966423812266612,-0.36021771432376504,1784362544.509254,1784362548.6345248,1784362550.317097,1784362549.475811,0.94283,0.293322,0.502561,-0.00129,0.001131,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4187204,4170013,0,0,0,0,1,1,1784362548.6345248
20,formal,up,11,10,0,20,-2.971287238345739,-3.101840714546838,1784362606.097135,1784362610.246539,1784362611.932908,1784362611.0897236,0.004304,0.034469,0.059047,0.002477,-0.00467,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-607887,540814,0,0,0,0,1,1,1784362610.246539
21,formal,down,11,10,1,21,-2.971287238345739,-2.84073376214464,1784362637.4816582,1784362641.6011908,1784362643.2747252,1784362642.437958,0.001631,0.024619,0.042144,0.002545,-0.004691,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-484921,404468,0,0,0,0,1,1,1784362641.6011908
22,formal,down,69,11,0,22,4.600814381317985,4.731367857519084,1784362750.782136,1784362754.9384499,1784362756.620949,1784362755.7796993,0.868964,-0.298117,-0.507986,-0.000201,0.001674,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4174840,4317877,0,0,0,0,1,1,1784362754.9384499
23,formal,up,69,11,1,23,4.600814381317985,4.470260905116886,1784362782.172564,1784362786.2865589,1784362787.9618628,1784362787.1242108,0.831952,-0.299166,-0.510586,-0.000106,0.001531,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-4179836,4261814,0,0,0,0,1,1,1784362786.2865589
24,formal,up,56,12,0,24,2.9036191907037026,2.7730657145026036,1784362830.747755,1784362834.8908749,1784362836.575798,1784362835.7333364,1.2,-0.155719,-0.266725,-0.001343,0.003297,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2229229,2326958,0,0,0,0,1,1,1784362834.8908749
25,formal,down,56,12,1,25,2.9036191907037026,3.0341726669048015,1784362862.183226,1784362866.3074582,1784362867.9894688,1784362867.1484635,1.2,-0.156373,-0.268269,-0.001358,0.003265,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2251248,2374553,0,0,0,0,1,1,1784362866.3074582
26,formal,down,24,13,0,26,-1.2740920477314557,-1.1435385715303568,1784362935.258996,1784362939.374675,1784362941.0557692,1784362940.2152221,0.507447,0.277111,0.472466,-0.00154,0.001089,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3909429,4008598,0,0,0,0,1,1,1784362939.374675
27,formal,up,24,13,1,27,-1.2740920477314557,-1.4046455239325546,1784362966.655654,1784362970.758166,1784362972.437865,1784362971.5980155,0.481631,0.273342,0.466707,-0.001443,0.000817,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-3898420,3897573,0,0,0,0,1,1,1784362970.758166
