sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,108,0,0.0,-0.1294692446742183,-0.1294692446742183,1784351180.8212988,1784351182.2438312,1784351181.532565,1.09008827,"[dac] CH_A set to -0.130 V (code=32343)
"
1,108,1,-0.1294692446742183,-0.2589384893484366,-0.1294692446742183,1784351182.244309,1784351183.676401,1784351182.9603548,1.01769501,"[dac] CH_A set to -0.259 V (code=31919)
"
2,108,2,-0.2589384893484366,-0.38840773402265494,-0.12946924467421833,1784351183.676607,1784351185.096598,1784351184.3866024,0.974795305,"[dac] CH_A set to -0.388 V (code=31495)
"
3,108,3,-0.38840773402265494,-0.5178769786968732,-0.12946924467421828,1784351185.0968168,1784351186.536438,1784351185.8166275,0.917148823,"[dac] CH_A set to -0.518 V (code=31070)
"
4,108,4,-0.5178769786968732,-0.6473462233710915,-0.12946924467421828,1784351186.5366678,1784351187.979127,1784351187.2578974,0.83403064,"[dac] CH_A set to -0.647 V (code=30646)
"
5,108,5,-0.6473462233710915,-0.7768154680453099,-0.1294692446742184,1784351187.979342,1784351189.410235,1784351188.6947885,0.768340463,"[dac] CH_A set to -0.777 V (code=30222)
"
6,108,6,-0.7768154680453099,-0.9062847127195282,-0.12946924467421828,1784351189.410528,1784351190.8457391,1784351190.1281335,0.689244127,"[dac] CH_A set to -0.906 V (code=29798)
"
7,108,7,-0.9062847127195282,-1.0357539573937464,-0.12946924467421828,1784351190.8459709,1784351192.277039,1784351191.5615048,0.649025652,"[dac] CH_A set to -1.036 V (code=29373)
"
8,108,8,-1.0357539573937464,-1.1652232020679647,-0.12946924467421828,1784351192.277282,1784351193.7030048,1784351192.9901433,0.594060401,"[dac] CH_A set to -1.165 V (code=28949)
"
9,108,9,-1.1652232020679647,-1.294692446742183,-0.12946924467421828,1784351193.703226,1784351195.15211,1784351194.427668,0.506920371,"[dac] CH_A set to -1.295 V (code=28525)
"
10,108,10,-1.294692446742183,-1.4241616914164013,-0.12946924467421828,1784351195.1523461,1784351196.6057,1784351195.879023,0.480108054,"[dac] CH_A set to -1.424 V (code=28101)
"
11,108,11,-1.4241616914164013,-1.5536309360906198,-0.1294692446742185,1784351196.605885,1784351198.0362391,1784351197.321062,0.411736645,"[dac] CH_A set to -1.554 V (code=27677)
"
12,108,12,-1.5536309360906198,-1.683100180764838,-0.12946924467421828,1784351198.036448,1784351199.4697049,1784351198.7530766,0.3487277,"[dac] CH_A set to -1.683 V (code=27252)
"
13,108,13,-1.683100180764838,-1.8125694254390563,-0.12946924467421828,1784351199.469915,1784351200.900321,1784351200.185118,0.299124913,"[dac] CH_A set to -1.813 V (code=26828)
"
14,108,14,-1.8125694254390563,-1.9420386701132746,-0.12946924467421828,1784351200.90055,1784351202.3179,1784351201.6092248,0.252203358,"[dac] CH_A set to -1.942 V (code=26404)
"
15,108,15,-1.9420386701132746,-2.071507914787493,-0.12946924467421828,1784351202.3180969,1784351203.755446,1784351203.0367713,0.211984882,"[dac] CH_A set to -2.072 V (code=25980)
"
16,108,16,-2.071507914787493,-2.2009771594617114,-0.1294692446742185,1784351203.7556741,1784351205.202073,1784351204.4788737,0.1543384,"[dac] CH_A set to -2.201 V (code=25555)
"
