dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
0,108,pre,0,1784351228.2684538,1784351228.469957,1784351228.3692055,0.0511109795
1,108,pre,1,1784351228.471004,1784351228.677452,1784351228.574228,0.0417266685
2,108,pre,2,1784351228.6777,1784351228.887912,1784351228.782806,0.0403860527
3,108,pre,3,1784351228.888088,1784351229.0964448,1784351228.9922664,0.018936199
4,108,pre,4,1784351229.096645,1784351229.3015969,1784351229.199121,0.0216174307
5,108,pre,5,1784351229.301873,1784351229.507712,1784351229.4047923,0.047089132
6,108,pre,6,1784351229.507891,1784351229.709792,1784351229.6088414,0.0484297478
7,108,pre,7,1784351229.710353,1784351229.920639,1784351229.815496,0.0242986624
8,108,post,0,1784351248.6217349,1784351248.827327,1784351248.724531,0.0350235893
9,108,post,1,1784351248.828114,1784351249.0286741,1784351248.928394,0.0417266685
10,108,post,2,1784351249.0288699,1784351249.230038,1784351249.129454,0.037704821
11,108,post,3,1784351249.230231,1784351249.435623,1784351249.332927,0.0296611258
12,108,post,4,1784351249.435819,1784351249.642557,1784351249.539188,0.0162549673
13,108,post,5,1784351249.642881,1784351249.8489332,1784351249.745907,0.0336829734
14,108,post,6,1784351249.849136,1784351250.05331,1784351249.951223,0.0310017417
15,108,post,7,1784351250.053508,1784351250.254494,1784351250.154001,0.065857754
16,109,pre,0,1784351259.639499,1784351259.8496158,1784351259.7445574,0.0739014491
17,109,pre,1,1784351259.849828,1784351260.0526621,1784351259.951245,0.0524515954
18,109,pre,2,1784351260.052869,1784351260.260483,1784351260.156676,0.0497703637
19,109,pre,3,1784351260.2607412,1784351260.470927,1784351260.3658342,0.0497703637
20,109,pre,4,1784351260.4711711,1784351260.6720488,1784351260.57161,0.0712202174
21,109,pre,5,1784351260.672357,1784351260.881311,1784351260.776834,0.0497703637
22,109,pre,6,1784351260.881572,1784351261.0842419,1784351260.9829068,0.0511109795
23,109,pre,7,1784351261.0844438,1784351261.286614,1784351261.1855288,0.0618359064
24,109,post,0,1784351279.9871318,1784351280.192954,1784351280.090043,0.0350235893
25,109,post,1,1784351280.193353,1784351280.401875,1784351280.297614,0.0403860527
26,109,post,2,1784351280.40207,1784351280.61221,1784351280.5071402,0.0336829734
27,109,post,3,1784351280.612393,1784351280.817633,1784351280.715013,0.0739014491
28,109,post,4,1784351280.817808,1784351281.020395,1784351280.9191015,0.0524515954
29,109,post,5,1784351281.0206232,1784351281.230056,1784351281.1253395,0.047089132
30,109,post,6,1784351281.230291,1784351281.437709,1784351281.334,0.047089132
31,109,post,7,1784351281.437957,1784351281.638486,1784351281.5382214,0.056473443
32,110,pre,0,1784351388.706514,1784351388.914367,1784351388.8104405,0.580654243
33,110,pre,1,1784351388.915367,1784351389.1184828,1784351389.0169249,0.616850871
34,110,pre,2,1784351389.118679,1784351389.319819,1784351389.219249,0.557863773
35,110,pre,3,1784351389.3200252,1784351389.527107,1784351389.423566,0.611488408
36,110,pre,4,1784351389.527301,1784351389.727992,1784351389.6276464,0.590038554
37,110,pre,5,1784351389.728265,1784351389.935361,1784351389.8318129,0.620872719
38,110,pre,6,1784351389.9355478,1784351390.145681,1784351390.0406144,0.572610548
39,110,pre,7,1784351390.145878,1784351390.350235,1784351390.2480564,0.595401017
40,110,post,0,1784351409.029514,1784351409.2352262,1784351409.13237,0.567248084
41,110,post,1,1784351409.236317,1784351409.4438882,1784351409.3401027,0.55250131
42,110,post,2,1784351409.444132,1784351409.654279,1784351409.5492055,0.549820078
43,110,post,3,1784351409.654489,1784351409.8646321,1784351409.7595606,0.547138846
44,110,post,4,1784351409.864855,1784351410.068244,1784351409.9665494,0.576632395
45,110,post,5,1784351410.0684302,1784351410.278589,1784351410.1735096,0.576632395
46,110,post,6,1784351410.278794,1784351410.486791,1784351410.3827925,0.563226237
47,110,post,7,1784351410.487042,1784351410.6947992,1784351410.5909204,0.579313627
48,111,pre,0,1784351420.118932,1784351420.3291242,1784351420.224028,0.553841926
49,111,pre,1,1784351420.329351,1784351420.531011,1784351420.430181,0.564566853
50,111,pre,2,1784351420.5311959,1784351420.7413251,1784351420.6362605,0.567248084
51,111,pre,3,1784351420.741554,1784351420.943531,1784351420.8425426,0.55250131
52,111,pre,4,1784351420.943732,1784351421.149815,1784351421.0467734,0.563226237
53,111,pre,5,1784351421.149984,1784351421.355084,1784351421.252534,0.575291779
54,111,pre,6,1784351421.355297,1784351421.5609632,1784351421.4581301,0.525688993
55,111,pre,7,1784351421.561379,1784351421.767173,1784351421.6642761,0.563226237
56,111,post,0,1784351440.40649,1784351440.609885,1784351440.5081875,0.53641392
57,111,post,1,1784351440.610919,1784351440.81647,1784351440.7136946,0.541776383
58,111,post,2,1784351440.816703,1784351441.019163,1784351440.917933,0.563226237
59,111,post,3,1784351441.019341,1784351441.2240949,1784351441.121718,0.539095151
60,111,post,4,1784351441.224301,1784351441.42799,1784351441.3261456,0.492173596
61,111,post,5,1784351441.428223,1784351441.6358242,1784351441.5320234,0.559204389
62,111,post,6,1784351441.6360161,1784351441.843209,1784351441.7396126,0.531051456
63,111,post,7,1784351441.843488,1784351442.047883,1784351441.9456854,0.537754535
64,112,pre,0,1784351494.477917,1784351494.687265,1784351494.582591,1.65985001
65,112,pre,1,1784351494.6882958,1784351494.891656,1784351494.789976,1.67325617
66,112,pre,2,1784351494.891864,1784351495.1019871,1784351494.9969256,1.63705954
