dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
0,108,pre,0,1784367202.59567,1784367202.801514,1784367202.698592,0.047089132
1,108,pre,1,1784367202.801962,1784367203.0099468,1784367202.9059544,0.018936199
2,108,pre,2,1784367203.010133,1784367203.212401,1784367203.111267,0.0336829734
3,108,pre,3,1784367203.212609,1784367203.4227252,1784367203.317667,0.0725608332
4,108,pre,4,1784367203.4228952,1784367203.625509,1784367203.524202,0.0537922112
5,108,pre,5,1784367203.6256719,1784367203.8357801,1784367203.730726,0.018936199
6,108,pre,6,1784367203.835951,1784367204.045588,1784367203.9407697,0.0631765222
7,108,pre,7,1784367204.045772,1784367204.2513971,1784367204.1485846,0.0202768148
8,108,post,0,1784367222.9352498,1784367223.1449568,1784367223.0401034,0.047089132
9,108,post,1,1784367223.14531,1784367223.353915,1784367223.2496123,0.0444079002
10,108,post,2,1784367223.35409,1784367223.558298,1784367223.456194,0.0430672844
