sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,108,0,0.0,-0.1294692446742183,-0.1294692446742183,1784367155.069785,1784367156.5009542,1784367155.7853696,1.0337824,"[dac] CH_A set to -0.130 V (code=32343)
"
1,108,1,-0.1294692446742183,-0.2589384893484366,-0.1294692446742183,1784367156.501246,1784367157.9301848,1784367157.2157154,0.986860847,"[dac] CH_A set to -0.259 V (code=31919)
"
2,108,2,-0.2589384893484366,-0.38840773402265494,-0.12946924467421833,1784367157.9304209,1784367159.3707259,1784367158.6505733,0.911786359,"[dac] CH_A set to -0.388 V (code=31495)
"
3,108,3,-0.38840773402265494,-0.5178769786968732,-0.12946924467421828,1784367159.370937,1784367160.8033228,1784367160.08713,0.842074335,"[dac] CH_A set to -0.518 V (code=31070)
"
4,108,4,-0.5178769786968732,-0.6473462233710915,-0.12946924467421828,1784367160.8035042,1784367162.244781,1784367161.5241427,0.797834012,"[dac] CH_A set to -0.647 V (code=30646)
"
5,108,5,-0.6473462233710915,-0.7768154680453099,-0.1294692446742184,1784367162.2449868,1784367163.6867042,1784367162.9658456,0.720078292,"[dac] CH_A set to -0.777 V (code=30222)
"
6,108,6,-0.7768154680453099,-0.9062847127195282,-0.12946924467421828,1784367163.686909,1784367165.130968,1784367164.4089384,0.670475505,"[dac] CH_A set to -0.906 V (code=29798)
"
7,108,7,-0.9062847127195282,-1.0357539573937464,-0.12946924467421828,1784367165.1311412,1784367166.5783072,1784367165.8547242,0.635619493,"[dac] CH_A set to -1.036 V (code=29373)
"
8,108,8,-1.0357539573937464,-1.1652232020679647,-0.12946924467421828,1784367166.5785348,1784367168.015577,1784367167.297056,0.55250131,"[dac] CH_A set to -1.165 V (code=28949)
"
9,108,9,-1.1652232020679647,-1.294692446742183,-0.12946924467421828,1784367168.0159402,1784367169.460066,1784367168.7380033,0.524348377,"[dac] CH_A set to -1.295 V (code=28525)
"
10,108,10,-1.294692446742183,-1.4241616914164013,-0.12946924467421828,1784367169.4602802,1784367170.893397,1784367170.1768386,0.453295737,"[dac] CH_A set to -1.424 V (code=28101)
"
11,108,11,-1.4241616914164013,-1.5536309360906198,-0.1294692446742185,1784367170.893654,1784367172.3260171,1784367171.6098356,0.396989871,"[dac] CH_A set to -1.554 V (code=27677)
"
12,108,12,-1.5536309360906198,-1.683100180764838,-0.12946924467421828,1784367172.3262432,1784367173.763704,1784367173.0449736,0.331299694,"[dac] CH_A set to -1.683 V (code=27252)
"
13,108,13,-1.683100180764838,-1.8125694254390563,-0.12946924467421828,1784367173.763894,1784367175.203477,1784367174.4836855,0.300465529,"[dac] CH_A set to -1.813 V (code=26828)
"
14,108,14,-1.8125694254390563,-1.9420386701132746,-0.12946924467421828,1784367175.203653,1784367176.624259,1784367175.9139562,0.252203358,"[dac] CH_A set to -1.942 V (code=26404)
"
15,108,15,-1.9420386701132746,-2.071507914787493,-0.12946924467421828,1784367176.624442,1784367178.0567858,1784367177.3406138,0.19321626,"[dac] CH_A set to -2.072 V (code=25980)
"
16,108,16,-2.071507914787493,-2.2009771594617114,-0.1294692446742185,1784367178.057045,1784367179.495162,1784367178.7761035,0.155679016,"[dac] CH_A set to -2.201 V (code=25555)
"
17,108,17,-2.2009771594617114,-2.3304464041359294,-0.12946924467421805,1784367179.495371,1784367180.943265,1784367180.219318,0.152997785,"[dac] CH_A set to -2.330 V (code=25131)
"
18,108,18,-2.3304464041359294,-2.459915648810148,-0.1294692446742185,1784367180.943459,1784367182.3780842,1784367181.6607716,0.112779309,"[dac] CH_A set to -2.460 V (code=24707)
"
19,108,19,-2.459915648810148,-2.589384893484366,-0.12946924467421805,1784367182.378287,1784367183.820493,1784367183.09939,0.0993731504,"[dac] CH_A set to -2.589 V (code=24283)
"
20,108,20,-2.589384893484366,-2.7188541381585845,-0.1294692446742185,1784367183.8206878,1784367185.2601118,1784367184.5403998,0.0671983698,"[dac] CH_A set to -2.719 V (code=23858)
"
21,108,21,-2.7188541381585845,-2.8483233828328025,-0.12946924467421805,1784367185.260376,1784367186.678911,1784367185.9696436,0.0323423575,"[dac] CH_A set to -2.848 V (code=23434)
"
22,108,22,-2.8483233828328025,-2.977792627507021,-0.1294692446742185,1784367186.6791391,1784367188.110796,1784367187.3949676,0.0135737784,"[dac] CH_A set to -2.978 V (code=23010)
"
23,108,23,-2.977792627507021,-3.1072618721812395,-0.1294692446742185,1784367188.110992,1784367189.553196,1784367188.832094,0.0256392783,"[dac] CH_A set to -3.107 V (code=22586)
"
24,108,24,-3.1072618721812395,-3.2367311168554576,-0.12946924467421805,1784367189.553388,1784367190.994766,1784367190.274077,0.00821127212,"[dac] CH_A set to -3.237 V (code=22162)
"
25,108,25,-3.2367311168554576,-3.366200361529676,-0.1294692446742185,1784367190.9950159,1784367192.430531,1784367191.7127733,0.00821127212,"[dac] CH_A set to -3.366 V (code=21737)
"
26,108,26,-3.366200361529676,-3.495669606203894,-0.12946924467421805,1784367192.4307468,1784367193.8766541,1784367193.1537004,0.0336829734,"[dac] CH_A set to -3.496 V (code=21313)
"
27,108,27,-3.495669606203894,-3.6251388508781126,-0.1294692446742185,1784367193.876852,1784367195.3255758,1784367194.601214,0.018936199,"[dac] CH_A set to -3.625 V (code=20889)
"
28,108,28,-3.6251388508781126,-3.754608095552331,-0.1294692446742185,1784367195.325781,1784367196.768328,1784367196.0470545,0.037704821,"[dac] CH_A set to -3.755 V (code=20465)
"
