window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,read_attempt_count,t_first_attempt_start_unix
0,54,0,sentinel,down,60,27,0,3.4258330955080973,1784375515.979906,1784375518.309515,1784375517.1447105,1.2,-0.121961,-0.208987,0.000544,6.1e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1815277,1859229,0,0,0,0,1,1,1784375515.979906
1,54,1,sentinel,down,60,27,0,3.4258330955080973,1784375518.3097558,1784375520.632597,1784375519.4711764,1.2,-0.122269,-0.209432,0.000472,5e-06,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1863802,1974658,0,0,0,0,1,1,1784375518.3097558
2,54,2,sentinel,down,60,27,0,3.4258330955080973,1784375520.633027,1784375522.9523451,1784375521.792686,1.2,-0.122696,-0.21019,0.000503,4.7e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1855249,1902843,0,0,0,0,1,1,1784375520.633027
3,54,3,sentinel,down,60,27,0,3.4258330955080973,1784375522.952663,1784375525.279477,1784375524.1160698,1.2,-0.12291,-0.210722,0.000542,8e-06,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1901997,1873880,0,0,0,0,1,1,1784375522.952663
4,54,4,sentinel,down,60,27,0,3.4258330955080973,1784375525.279764,1784375527.603296,1784375526.44153,1.2,-0.123234,-0.211253,0.000551,2e-06,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1856350,1908009,0,0,0,0,1,1,1784375525.279764
5,54,5,sentinel,down,60,27,0,3.4258330955080973,1784375527.6035352,1784375529.923302,1784375528.7634187,1.2,-0.123549,-0.211791,0.000605,-2e-06,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1878030,1907840,0,0,0,0,1,1,1784375527.6035352
6,54,6,sentinel,down,60,27,0,3.4258330955080973,1784375529.9235141,1784375532.24084,1784375531.0821772,1.2,-0.123756,-0.212179,0.000545,-2e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1940191,1921221,0,0,0,0,1,1,1784375529.9235141
7,54,7,sentinel,down,60,27,0,3.4258330955080973,1784375532.2415419,1784375534.561867,1784375533.4017043,1.2,-0.124004,-0.212706,0.000574,-2e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1899371,1953063,0,0,0,0,1,1,1784375532.2415419
8,54,8,sentinel,down,60,27,0,3.4258330955080973,1784375534.562101,1784375536.874845,1784375535.718473,1.2,-0.124411,-0.213306,0.000549,-4.7e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1918849,1948236,0,0,0,0,1,1,1784375534.562101
9,54,9,sentinel,down,60,27,0,3.4258330955080973,1784375536.875193,1784375539.186913,1784375538.031053,1.2,-0.124559,-0.213637,0.000579,-5.1e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1893697,1931214,0,0,0,0,1,1,1784375536.875193
10,54,10,sentinel,down,60,27,0,3.4258330955080973,1784375539.187186,1784375541.5077498,1784375540.347468,1.2,-0.124715,-0.213881,0.000578,-3.9e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1878623,1941800,0,0,0,0,1,1,1784375539.187186
11,54,11,sentinel,down,60,27,0,3.4258330955080973,1784375541.507974,1784375543.823742,1784375542.6658578,1.2,-0.125044,-0.21453,0.000549,-3.4e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1894883,1943070,0,0,0,0,1,1,1784375541.507974
12,54,12,sentinel,down,60,27,0,3.4258330955080973,1784375543.8239648,1784375546.149593,1784375544.986779,1.2,-0.125322,-0.214942,0.000568,-4.7e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1892173,1893189,0,0,0,0,1,1,1784375543.8239648
13,54,13,sentinel,down,60,27,0,3.4258330955080973,1784375546.1498282,1784375548.4671931,1784375547.3085108,1.2,-0.12547,-0.215162,0.000598,-5.1e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1940529,1959161,0,0,0,0,1,1,1784375546.1498282
14,54,14,sentinel,down,60,27,0,3.4258330955080973,1784375548.4674501,1784375550.785727,1784375549.6265886,1.2,-0.125667,-0.215611,0.000586,-4.6e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1920289,1980333,0,0,0,0,1,1,1784375548.4674501
15,54,15,sentinel,down,60,27,0,3.4258330955080973,1784375550.786001,1784375553.107709,1784375551.946855,1.2,-0.125736,-0.215806,0.000591,-5.6e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1910465,1970763,0,0,0,0,1,1,1784375550.786001
16,55,0,sentinel,up,60,27,1,3.4258330955080973,1784375565.679546,1784375567.999533,1784375566.8395395,1.2,-0.127089,-0.217977,0.000624,-2.1e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1929943,1944764,0,0,0,0,1,1,1784375565.679546
17,55,1,sentinel,up,60,27,1,3.4258330955080973,1784375567.99982,1784375570.3211951,1784375569.1605077,1.2,-0.127282,-0.218263,0.0006,-4.4e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1898270,1966613,0,0,0,0,1,1,1784375567.99982
18,55,2,sentinel,up,60,27,1,3.4258330955080973,1784375570.321463,1784375572.641124,1784375571.4812937,1.2,-0.127449,-0.21866,0.000622,-7.3e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1908094,1953148,0,0,0,0,1,1,1784375570.321463
19,55,3,sentinel,up,60,27,1,3.4258330955080973,1784375572.641629,1784375574.9525409,1784375573.7970848,1.2,-0.127618,-0.218803,0.000583,-9.3e-05,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1907671,1960854,0,0,0,0,1,1,1784375572.641629
