dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
0,54,pre,0,1784375514.349807,1784375514.550587,1784375514.450197,1.35284898
1,54,pre,1,1784375514.5507588,1784375514.755907,1784375514.653333,1.35418959
2,54,pre,2,1784375514.756095,1784375514.9571252,1784375514.85661,1.33676159
3,54,pre,3,1784375514.957309,1784375515.160598,1784375515.0589535,1.3381022
4,54,pre,4,1784375515.160783,1784375515.364862,1784375515.2628226,1.34078343
5,54,pre,5,1784375515.365047,1784375515.570152,1784375515.4675994,1.35418959
6,54,pre,6,1784375515.570356,1784375515.774297,1784375515.6723266,1.37966129
7,54,pre,7,1784375515.7744682,1784375515.97966,1784375515.8770642,1.35418959
8,54,post,0,1784375553.108023,1784375553.313143,1784375553.210583,1.31128988
9,54,post,1,1784375553.3133051,1784375553.5151129,1784375553.414209,1.30860865
10,54,post,2,1784375553.515289,1784375553.720424,1784375553.6178565,1.33676159
11,54,post,3,1784375553.720625,1784375553.924435,1784375553.8225298,1.33542097
12,54,post,4,1784375553.9246268,1784375554.1297731,1784375554.0272,1.31799296
13,54,post,5,1784375554.129982,1784375554.332769,1784375554.2313755,1.31397112
14,54,post,6,1784375554.3331058,1784375554.537993,1784375554.4355493,1.3126305
15,54,post,7,1784375554.538176,1784375554.739543,1784375554.6388595,1.32603666
16,55,pre,0,1784375564.051511,1784375564.256651,1784375564.1540809,1.34078343
17,55,pre,1,1784375564.256866,1784375564.457803,1784375564.3573346,1.33273974
18,55,pre,2,1784375564.4580889,1784375564.658528,1784375564.5583086,1.31799296
19,55,pre,3,1784375564.65871,1784375564.8638341,1784375564.761272,1.32469604
20,55,pre,4,1784375564.864018,1784375565.066161,1784375564.9650893,1.32201481
21,55,pre,5,1784375565.06636,1784375565.27156,1784375565.16896,1.33408035
22,55,pre,6,1784375565.271768,1784375565.4740689,1784375565.3729186,1.33408035
23,55,pre,7,1784375565.4742389,1784375565.6793568,1784375565.576798,1.32603666
24,55,post,0,1784375602.796233,1784375602.9992042,1784375602.8977184,1.31397112
25,55,post,1,1784375602.999424,1784375603.204597,1784375603.1020105,1.32335543
26,55,post,2,1784375603.204777,1784375603.4099011,1784375603.3073392,1.30994927
27,55,post,3,1784375603.410115,1784375603.6108491,1784375603.510482,1.29386188
28,55,post,4,1784375603.611031,1784375603.816139,1784375603.713585,1.28447757
29,55,post,5,1784375603.8164139,1784375604.019092,1784375603.917753,1.31397112
30,55,post,6,1784375604.019336,1784375604.224351,1784375604.1218433,1.29654311
31,55,post,7,1784375604.2245781,1784375604.4297578,1784375604.327168,1.31128988
32,56,pre,0,1784375627.9373171,1784375628.140366,1784375628.0388417,0.52971084
33,56,pre,1,1784375628.140552,1784375628.3457122,1784375628.243132,0.559204389
34,56,pre,2,1784375628.345946,1784375628.5462599,1784375628.446103,0.535073304
35,56,pre,3,1784375628.546456,1784375628.747403,1784375628.6469295,0.524348377
36,56,pre,4,1784375628.747581,1784375628.948799,1784375628.8481898,0.535073304
37,56,pre,5,1784375628.949066,1784375629.154264,1784375629.0516648,0.523007761
38,56,pre,6,1784375629.154588,1784375629.3569438,1784375629.255766,0.537754535
39,56,pre,7,1784375629.357206,1784375629.562353,1784375629.4597795,0.539095151
40,56,post,0,1784375666.674491,1784375666.879648,1784375666.7770696,0.504239139
41,56,post,1,1784375666.8798258,1784375667.082422,1784375666.981124,0.532392072
42,56,post,2,1784375667.0826151,1784375667.287767,1784375667.1851912,0.509601602
43,56,post,3,1784375667.287953,1784375667.490408,1784375667.3891804,0.524348377
44,56,post,4,1784375667.490869,1784375667.696018,1784375667.5934434,0.481448669
45,56,post,5,1784375667.696258,1784375667.898672,1784375667.797465,0.504239139
46,56,post,6,1784375667.898942,1784375668.1023738,1784375668.000658,0.527029609
47,56,post,7,1784375668.102578,1784375668.307028,1784375668.204803,0.516304682
48,57,pre,0,1784375677.6555462,1784375677.857769,1784375677.7566576,0.508260987
49,57,pre,1,1784375677.858015,1784375678.0681999,1784375677.9631076,0.501557907
50,57,pre,2,1784375678.068434,1784375678.2785869,1784375678.1735106,0.492173596
51,57,pre,3,1784375678.278858,1784375678.484917,1784375678.3818874,0.517645298
52,57,pre,4,1784375678.4851148,1784375678.6898298,1784375678.5874724,0.514964066
53,57,pre,5,1784375678.690015,1784375678.900144,1784375678.7950797,0.498876676
54,57,pre,6,1784375678.900338,1784375679.104152,1784375679.002245,0.509601602
55,57,pre,7,1784375679.104352,1784375679.307734,1784375679.206043,0.508260987
56,57,post,0,1784375716.6534588,1784375716.856181,1784375716.7548199,0.500217291
57,57,post,1,1784375716.856565,1784375717.066735,1784375716.96165,0.470723743
58,57,post,2,1784375717.0669272,1784375717.2772648,1784375717.172096,0.510942218
59,57,post,3,1784375717.277484,1784375717.4801788,1784375717.3788314,0.49083298
60,57,post,4,1784375717.480387,1784375717.686359,1784375717.583373,0.505579755
61,57,post,5,1784375717.68655,1784375717.8966951,1784375717.7916226,0.502898523
62,57,post,6,1784375717.8968801,1784375718.097578,1784375717.997229,0.478767438
63,57,post,7,1784375718.097779,1784375718.301522,1784375718.1996505,0.431845883
64,58,pre,0,1784375818.094259,1784375818.303095,1784375818.198677,0.02832051
65,58,pre,1,1784375818.304127,1784375818.514258,1784375818.4091926,0.0242986624
66,58,pre,2,1784375818.514445,1784375818.716395,1784375818.6154199,0.00150828134
67,58,pre,3,1784375818.716606,1784375818.922337,1784375818.8194714,0.02832051
68,58,pre,4,1784375818.922533,1784375819.1326761,1784375819.0276046,0.0149143514
69,58,pre,5,1784375819.1329658,1784375819.3430989,1784375819.2380323,0.00687069909
70,58,pre,6,1784375819.343275,1784375819.5447428,1784375819.4440088,0.00687065626
71,58,pre,7,1784375819.544928,1784375819.755054,1784375819.649991,0.0175955831
72,58,post,0,1784375855.248843,1784375855.459031,1784375855.3539371,0.0269798941
73,58,post,1,1784375855.460064,1784375855.6615622,1784375855.560813,0.037704821
74,58,post,2,1784375855.661771,1784375855.864815,1784375855.763293,0.0108927294
75,58,post,3,1784375855.86499,1784375856.0653498,1784375855.96517,0.000167848199
76,58,post,4,1784375856.065613,1784375856.275768,1784375856.1706905,0.00284885152
77,58,post,5,1784375856.275944,1784375856.478483,1784375856.3772135,0.0149143514
78,58,post,6,1784375856.478682,1784375856.682111,1784375856.5803967,-0.0078758498
79,58,post,7,1784375856.682393,1784375856.886752,1784375856.7845726,0.0149143514
80,59,pre,0,1784375866.354614,1784375866.559259,1784375866.4569364,0.00418942455
81,59,pre,1,1784375866.559468,1784375866.7643452,1784375866.6619067,0.0323423575
82,59,pre,2,1784375866.764528,1784375866.9746711,1784375866.8695996,0.0149143514
83,59,pre,3,1784375866.974859,1784375867.1756978,1784375867.0752783,0.0122331197
84,59,pre,4,1784375867.1758971,1784375867.386126,1784375867.2810116,0.0229580465
85,59,pre,5,1784375867.386313,1784375867.596471,1784375867.4913921,0.0108925038
86,59,pre,6,1784375867.596677,1784375867.806025,1784375867.7013512,0.0242986624
87,59,pre,7,1784375867.806237,1784375868.013696,1784375867.9099665,0.0256392783
88,59,post,0,1784375905.349503,1784375905.557169,1784375905.453336,0.0296611258
89,59,post,1,1784375905.557365,1784375905.765505,1784375905.6614351,0.00553008323
90,59,post,2,1784375905.765698,1784375905.975842,1784375905.87077,0.018936199
91,59,post,3,1784375905.9760342,1784375906.178564,1784375906.077299,0.00553004041
92,59,post,4,1784375906.1787362,1784375906.388896,1784375906.283816,0.0323423575
93,59,post,5,1784375906.389102,1784375906.599217,1784375906.4941595,0.0202768148
94,59,post,6,1784375906.599424,1784375906.807168,1784375906.703296,0.0135737355
95,59,post,7,1784375906.807392,1784375907.012144,1784375906.909768,0.0175955831
96,60,pre,0,1784375952.4077199,1784375952.617855,1784375952.5127873,1.08204457
97,60,pre,1,1784375952.6180532,1784375952.820384,1784375952.7192187,1.0672978
98,60,pre,2,1784375952.820569,1784375953.02335,1784375952.9219594,1.08606642
99,60,pre,3,1784375953.0235698,1784375953.2338402,1784375953.128705,1.07534149
100,60,pre,4,1784375953.234028,1784375953.44074,1784375953.3373842,1.07802273
101,60,pre,5,1784375953.441157,1784375953.65128,1784375953.5462184,1.06997903
102,60,pre,6,1784375953.6514869,1784375953.8517702,1784375953.7516284,1.06997903
103,60,pre,7,1784375953.851954,1784375954.056764,1784375953.954359,1.07802273
104,60,post,0,1784375991.4172559,1784375991.623515,1784375991.5203853,1.10751627
105,60,post,1,1784375991.623747,1784375991.8338969,1784375991.728822,1.09679135
106,60,post,2,1784375991.8340852,1784375992.035897,1784375991.9349911,1.07802273
107,60,post,3,1784375992.036101,1784375992.2405639,1784375992.1383324,1.10617566
108,60,post,4,1784375992.240772,1784375992.448452,1784375992.3446121,1.07266026
109,60,post,5,1784375992.448642,1784375992.6587698,1784375992.553706,1.08740704
110,60,post,6,1784375992.6589582,1784375992.861492,1784375992.760225,1.06863841
111,60,post,7,1784375992.861699,1784375993.071967,1784375992.966833,1.09679135
112,61,pre,0,1784376002.4534159,1784376002.6636648,1784376002.5585403,1.12092243
113,61,pre,1,1784376002.663875,1784376002.8651378,1784376002.7645063,1.09679135
114,61,pre,2,1784376002.8653948,1784376003.075531,1784376002.9704628,1.10483504
115,61,pre,3,1784376003.075727,1784376003.2782989,1784376003.177013,1.08874765
116,61,pre,4,1784376003.278518,1784376003.4821792,1784376003.3803487,1.11019751
117,61,pre,5,1784376003.482486,1784376003.69018,1784376003.586333,1.11958182
118,61,pre,6,1784376003.690391,1784376003.899997,1784376003.7951941,1.11555997
119,61,pre,7,1784376003.900186,1784376004.106854,1784376004.00352,1.09411012
120,61,post,0,1784376041.440064,1784376041.650221,1784376041.5451427,1.09411012
121,61,post,1,1784376041.650432,1784376041.858891,1784376041.7546616,1.1182412
122,61,post,2,1784376041.859058,1784376042.065519,1784376041.9622884,1.11421935
123,61,post,3,1784376042.065758,1784376042.2759,1784376042.1708288,1.11555997
124,61,post,4,1784376042.276097,1784376042.482005,1784376042.379051,1.09142888
125,61,post,5,1784376042.482241,1784376042.692404,1784376042.5873225,1.10617566
126,61,post,6,1784376042.692619,1784376042.901856,1784376042.7972374,1.08204457
127,61,post,7,1784376042.902059,1784376043.103277,1784376043.002668,1.07936334
128,62,pre,0,1784376068.300746,1784376068.502787,1784376068.4017665,1.60354414
129,62,pre,1,1784376068.5030038,1784376068.7073338,1784376068.6051688,1.58745675
130,62,pre,2,1784376068.707536,1784376068.910583,1784376068.8090596,1.57807244
131,62,pre,3,1784376068.910757,1784376069.111039,1784376069.010898,1.59281921
132,62,pre,4,1784376069.111216,1784376069.313388,1784376069.2123022,1.58209429
133,62,pre,5,1784376069.313594,1784376069.5237172,1784376069.4186556,1.58209429
134,62,pre,6,1784376069.5239658,1784376069.732909,1784376069.6284375,1.59013798
135,62,pre,7,1784376069.733123,1784376069.94109,1784376069.8371067,1.54857889
136,62,post,0,1784376107.315978,1784376107.526122,1784376107.42105,1.58075367
137,62,post,1,1784376107.5263429,1784376107.736456,1784376107.6313994,1.5579632
138,62,post,2,1784376107.736639,1784376107.94527,1784376107.8409545,1.58745675
139,62,post,3,1784376107.945463,1784376108.155612,1784376108.0505376,1.59550045
140,62,post,4,1784376108.155831,1784376108.365601,1784376108.260716,1.57136936
141,62,post,5,1784376108.3657951,1784376108.5759392,1784376108.4708672,1.57002875
142,62,post,6,1784376108.5762079,1784376108.783332,1784376108.67977,1.60488476
143,62,post,7,1784376108.7835221,1784376108.984274,1784376108.883898,1.57270998
144,63,pre,0,1784376118.349319,1784376118.552223,1784376118.4507709,1.59550045
145,63,pre,1,1784376118.552437,1784376118.7625878,1784376118.6575124,1.57136936
146,63,pre,2,1784376118.7627919,1784376118.965677,1784376118.8642344,1.6089066
147,63,pre,3,1784376118.9659488,1784376119.175078,1784376119.0705132,1.60622537
148,63,pre,4,1784376119.175274,1784376119.3767529,1784376119.2760134,1.6089066
149,63,pre,5,1784376119.37695,1784376119.582256,1784376119.479603,1.56734751
150,63,pre,6,1784376119.5825129,1784376119.792741,1784376119.6876268,1.57673182
151,63,pre,7,1784376119.792942,1784376120.003107,1784376119.8980246,1.56064443
152,63,post,0,1784376155.510155,1784376155.7199612,1784376155.615058,1.58209429
153,63,post,1,1784376155.720285,1784376155.930397,1784376155.825341,1.57941306
154,63,post,2,1784376155.930592,1784376156.1353989,1784376156.0329955,1.56466628
155,63,post,3,1784376156.13573,1784376156.33653,1784376156.23613,1.56868813
156,63,post,4,1784376156.336726,1784376156.539954,1784376156.43834,1.60354414
157,63,post,5,1784376156.540166,1784376156.7406,1784376156.640383,1.60622537
158,63,post,6,1784376156.741122,1784376156.951261,1784376156.8461914,1.58745675
159,63,post,7,1784376156.951503,1784376157.158043,1784376157.0547729,1.57673182
160,64,pre,0,1784376206.698026,1784376206.9081569,1784376206.8030915,0.332640309
161,64,pre,1,1784376206.908375,1784376207.1084979,1784376207.0084364,0.333980925
162,64,pre,2,1784376207.1086981,1784376207.316092,1784376207.2123952,0.32593723
163,64,pre,3,1784376207.316285,1784376207.523381,1784376207.419833,0.323255998
164,64,pre,4,1784376207.523604,1784376207.733862,1784376207.628733,0.327277846
165,64,pre,5,1784376207.73404,1784376207.939498,1784376207.836769,0.320574767
166,64,pre,6,1784376207.939702,1784376208.140095,1784376208.0398984,0.335321541
167,64,pre,7,1784376208.1403039,1784376208.348257,1784376208.2442803,0.339343389
168,64,post,0,1784376245.680641,1784376245.890668,1784376245.7856545,0.300465529
169,64,post,1,1784376245.890887,1784376246.09963,1784376245.9952586,0.307168608
170,64,post,2,1784376246.0998552,1784376246.3047109,1784376246.202283,0.300465529
171,64,post,3,1784376246.304932,1784376246.5131872,1784376246.4090595,0.299124913
172,64,post,4,1784376246.51343,1784376246.7149491,1784376246.6141896,0.301806145
173,64,post,5,1784376246.7152588,1784376246.917661,1784376246.81646,0.284378139
174,64,post,6,1784376246.917863,1784376247.123403,1784376247.020633,0.317893535
175,64,post,7,1784376247.1236439,1784376247.325409,1784376247.2245264,0.300465529
176,65,pre,0,1784376256.726655,1784376256.930773,1784376256.828714,0.300465529
177,65,pre,1,1784376256.931656,1784376257.141829,1784376257.0367424,0.283037523
178,65,pre,2,1784376257.142417,1784376257.3526652,1784376257.247541,0.285718754
179,65,pre,3,1784376257.352917,1784376257.563104,1784376257.4580104,0.283037523
180,65,pre,4,1784376257.563305,1784376257.767073,1784376257.6651888,0.299124913
181,65,pre,5,1784376257.767254,1784376257.977375,1784376257.8723145,0.305827992
182,65,pre,6,1784376257.977598,1784376258.180726,1784376258.0791621,0.27097198
183,65,pre,7,1784376258.181099,1784376258.3912919,1784376258.2861953,0.284378139
184,65,post,0,1784376295.753124,1784376295.9632902,1784376295.8582072,0.292421834
185,65,post,1,1784376295.963516,1784376296.164746,1784376296.064131,0.281696907
186,65,post,2,1784376296.1650078,1784376296.367396,1784376296.266202,0.279015675
187,65,post,3,1784376296.367583,1784376296.572659,1784376296.470121,0.29376245
188,65,post,4,1784376296.572856,1784376296.774345,1784376296.6736004,0.281696907
189,65,post,5,1784376296.774534,1784376296.984639,1784376296.8795865,0.272312596
190,65,post,6,1784376296.984844,1784376297.186989,1784376297.0859165,0.272312596
191,65,post,7,1784376297.1871831,1784376297.38935,1784376297.2882667,0.264268901
192,66,pre,0,1784376408.709077,1784376408.91388,1784376408.8114786,0.02832051
193,66,pre,1,1784376408.914315,1784376409.118026,1784376409.0161705,0.0524515954
194,66,pre,2,1784376409.118334,1784376409.326566,1784376409.22245,0.0671983698
195,66,pre,3,1784376409.326747,1784376409.536879,1784376409.431813,0.0216174307
196,66,pre,4,1784376409.537069,1784376409.7463949,1784376409.641732,0.0511109795
197,66,pre,5,1784376409.7468019,1784376409.95155,1784376409.849176,0.0618359064
198,66,pre,6,1784376409.9517848,1784376410.161929,1784376410.0568569,0.0604952905
199,66,pre,7,1784376410.1621308,1784376410.362932,1784376410.2625313,0.0511109795
200,66,post,0,1784376447.716497,1784376447.9266088,1784376447.8215528,0.110098077
201,66,post,1,1784376447.927804,1784376448.13134,1784376448.029572,0.0671983698
202,66,post,2,1784376448.13153,1784376448.33977,1784376448.23565,0.0940106869
203,66,post,3,1784376448.340018,1784376448.550154,1784376448.445086,0.075242065
204,66,post,4,1784376448.5505111,1784376448.750775,1784376448.650643,0.0792639125
205,66,post,5,1784376448.751022,1784376448.960196,1784376448.855609,0.0953513028
206,66,post,6,1784376448.960427,1784376449.163043,1784376449.0617352,0.0806045284
207,66,post,7,1784376449.163291,1784376449.364793,1784376449.264042,0.0698796015
208,67,pre,0,1784376458.765196,1784376458.974705,1784376458.8699505,0.0832857601
209,67,pre,1,1784376458.9748852,1784376459.181386,1784376459.0781355,0.0645171381
210,67,pre,2,1784376459.1816,1784376459.3874838,1784376459.284542,0.103394998
211,67,pre,3,1784376459.387666,1784376459.591885,1784376459.4897757,0.0859669918
212,67,pre,4,1784376459.5920682,1784376459.792193,1784376459.6921306,0.102054382
213,67,pre,5,1784376459.7923741,1784376459.9986298,1784376459.895502,0.0940106869
214,67,pre,6,1784376459.9988558,1784376460.205736,1784376460.1022959,0.0792639125
215,67,pre,7,1784376460.205911,1784376460.416071,1784376460.3109908,0.0806045284
216,67,post,0,1784376497.7401059,1784376497.95025,1784376497.845178,0.0940106869
217,67,post,1,1784376497.951298,1784376498.158665,1784376498.0549815,0.0846263759
218,67,post,2,1784376498.15885,1784376498.368993,1784376498.2639215,0.0792639125
219,67,post,3,1784376498.369259,1784376498.5794182,1784376498.4743385,0.0779232967
220,67,post,4,1784376498.5795999,1784376498.78737,1784376498.683485,0.110098077
221,67,post,5,1784376498.7875588,1784376498.996477,1784376498.8920178,0.107416846
222,67,post,6,1784376498.99668,1784376499.20134,1784376499.09901,0.104735614
223,67,post,7,1784376499.201504,1784376499.406623,1784376499.3040633,0.112779309
224,68,pre,0,1784376526.0338671,1784376526.2355251,1784376526.134696,0.112779309
225,68,pre,1,1784376526.235968,1784376526.4461062,1784376526.3410373,0.148975937
226,68,pre,2,1784376526.446291,1784376526.647572,1784376526.5469315,0.159700864
227,68,pre,3,1784376526.647753,1784376526.857864,1784376526.7528086,0.12216362
228,68,pre,4,1784376526.858057,1784376527.0658638,1784376526.9619603,0.151657169
229,68,pre,5,1784376527.06607,1784376527.27167,1784376527.16887,0.127526083
230,68,pre,6,1784376527.271883,1784376527.474934,1784376527.3734086,0.146294705
231,68,pre,7,1784376527.4751098,1784376527.685215,1784376527.5801625,0.152997785
232,68,post,0,1784376565.060565,1784376565.264048,1784376565.1623065,0.124844852
233,68,post,1,1784376565.264238,1784376565.464812,1784376565.364525,0.142272858
234,68,post,2,1784376565.464999,1784376565.675197,1784376565.570098,0.132888547
235,68,post,3,1784376565.675498,1784376565.885634,1784376565.780566,0.136910394
236,68,post,4,1784376565.885856,1784376566.0911622,1784376565.9885092,0.135569778
237,68,post,5,1784376566.0913439,1784376566.29745,1784376566.194397,0.147635321
238,68,post,6,1784376566.297687,1784376566.505759,1784376566.401723,0.131547931
239,68,post,7,1784376566.5059352,1784376566.7079449,1784376566.60694,0.139591626
240,69,pre,0,1784376576.0775712,1784376576.281735,1784376576.1796532,0.167744559
241,69,pre,1,1784376576.28193,1784376576.4885051,1784376576.3852177,0.147635321
242,69,pre,2,1784376576.488715,1784376576.6916008,1784376576.590158,0.132888547
