role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,dmm_pre_read_count,dmm_post_read_count,discard_read_attempt_count,formal_read_retry_count,t_acq_first_attempt_start_unix
sentinel,down,60,27,0,54,3.4258330955080973,3.5563865717091963,0.5,1784375507.188019,1784375508.610873,0,True,1784375512.6832929,1784375514.3495018,1784375514.349807,1784375515.97966,1784375515.1623633,1.3513407825,1784375515.979906,1784375553.107709,1784375534.5528162,1784375553.108023,1784375554.739543,1784375553.9247704,1.32033904125,0.5002386159753077,1.3358325143642753,1.2,-0.1240814375,-0.2127584375,0.0005583750000000001,-1.8125e-05,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-1940529,1980333,0,0,0,0,16,8,8,1,0,1784375515.979906
sentinel,up,60,27,1,55,3.4258330955080973,3.2952796193069984,0.5,1784375556.879741,1784375558.3026161,1,True,1784375562.3827388,1784375564.051279,1784375564.051511,1784375565.6793568,1784375564.864345,1.3290530425,1784375565.679546,1784375602.795987,1784375584.2384095,1784375602.796233,1784375604.4297578,1784375603.6122375,1.3059274225,0.5000030519238072,1.3174901619223698,1.2,-0.128249625,-0.2200013125,0.0006323125,-8.9625e-05,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-2004807,2051639,0,0,0,0,16,8,8,1,0,1784375565.679546
formal,up,73,28,0,56,5.123028286122381,4.992474809921282,0.5,1784375620.774851,1784375622.187235,2,True,1784375626.266366,1784375627.9370828,1784375627.9373171,1784375629.562353,1784375628.7488008,0.535408457625,1784375629.5625432,1784375666.6742232,1784375648.1235557,1784375666.674491,1784375668.307028,1784375667.4911168,0.5124504111249999,0.5000928416848623,0.5239273029112818,0.5095973125000001,-0.15936375000000003,-0.2718740625,0.0019625,-0.0025950625,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-2367693,2386833,0,0,0,0,16,8,8,1,0,1784375629.5625432
formal,down,73,28,1,57,5.123028286122381,5.2535817623234795,0.5,1784375670.435713,1784375671.8571892,3,True,1784375675.965481,1784375677.65528,1784375677.6555462,1784375679.307734,1784375678.4832506,0.506417639875,1784375679.307921,1784375716.65318,1784375697.9635339,1784375716.6534588,1784375718.301522,1784375717.479909,0.486475978875,0.49953724490694273,0.49645603748019174,0.4796255625,-0.156671125,-0.2675311875,0.001952375,-0.0026294375,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-2350417,2313493,0,0,0,0,16,8,8,1,0,1784375679.307921
formal,down,7,29,0,58,-3.4935011431501337,-3.362947666949035,0.5,1784375810.857501,1784375812.303613,4,True,1784375816.420748,1784375818.093154,1784375818.094259,1784375819.755054,1784375818.9252996,0.01608740669875,1784375819.755253,1784375855.248538,1784375837.7432728,1784375855.248843,1784375856.886752,1784375856.069511,0.012568374652375,0.5066192680424371,0.014304597259197619,0.001405625,-0.0025749999999999996,-0.004414,0.0002265625,-0.00040149999999999995,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-271169,271847,0,0,0,0,16,8,8,1,0,1784375819.755253
formal,up,7,29,1,59,-3.4935011431501337,-3.6240546193512326,0.5,1784375859.066336,1784375860.511313,5,True,1784375864.666124,1784375866.3535502,1784375866.354614,1784375868.013696,1784375867.1809301,0.01843346801875,1784375868.0139468,1784375905.349202,1784375886.6779306,1784375905.349503,1784375907.012144,1784375906.1817348,0.0179307424175,0.4999127742228569,0.01818214906875626,0.006615625,-0.0242490625,-0.04161525,0.0009556874999999999,-0.0016273124999999999,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-496353,487377,0,0,0,0,16,8,8,1,0,1784375868.0139468
formal,up,34,30,0,60,0.031442714279531714,-0.0991107619215672,0.5,1784375945.14929,1784375946.592664,6,True,1784375950.726254,1784375952.4074829,1784375952.4077199,1784375954.056764,1784375953.2340326,1.075844225,1784375954.0569549,1784375991.416955,1784375972.7342725,1784375991.4172559,1784375993.071967,1784375992.2434883,1.08925038375,0.4998849511931229,1.082545762012431,1.064832125,0.15821681250000003,0.2710278125,0.0009415625,-0.0020601249999999995,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-2482868,2356345,0,0,0,0,16,8,8,1,0,1784375954.0569549
formal,down,34,30,1,61,0.031442714279531714,0.16199619048063063,0.5,1784375995.2333262,1784375996.660477,7,True,1784376000.777434,1784376002.453174,1784376002.4534159,1784376004.106854,1784376003.2794898,1.10634323625,1784376004.107157,1784376041.439795,1784376022.7784228,1784376041.440064,1784376043.103277,1784376042.2749,1.10014288625,0.5000314902416783,1.10324286599948,1.0739314375,0.1572960625,0.269863875,0.0009413749999999999,-0.0020304375,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-2381243,2356260,0,0,0,0,16,8,8,1,0,1784376004.107157
formal,down,46,31,0,62,1.5980844286927152,1.728637904893814,0.5,1784376061.055446,1784376062.481052,8,True,1784376066.607625,1784376068.300477,1784376068.300746,1784376069.94109,1784376069.1154244,1.5830997487499998,1784376069.9413812,1784376107.3156538,1784376088.6230066,1784376107.315978,1784376108.984274,1784376108.1548991,1.5800833650000001,0.4996886439867738,1.5815924960442187,1.2,0.0419466875,0.072160625,-0.0004821875,0.0008145625,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-815032,914371,0,0,0,0,16,8,8,1,0,1784376069.9413812
formal,up,46,31,1,63,1.5980844286927152,1.4675309524916162,0.5,1784376111.142797,1784376112.569729,9,True,1784376116.670572,1784376118.349074,1784376118.349319,1784376120.003107,1784376119.1730373,1.5869540175,1784376120.0033972,1784376155.509912,1784376137.9989123,1784376155.510155,1784376157.158043,1784376156.3361514,1.5836024800000001,0.5065742071010731,1.585256215048368,1.2,0.009854749999999999,0.0169565,-0.00012837499999999996,0.00021668750000000003,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-740423,768624,0,0,0,0,16,8,8,1,0,1784376120.0033972
