bias,dc_dmm,dc_board,dir
-9.0,1.45875763,0.992906,up
-8.88,1.49093241,1.2,up
-8.76,1.48691056,1.2,up
-8.64,1.48020748,1.2,up
-8.52,1.46412009,1.2,up
-8.4,1.4560764,1.2,up
-8.28,1.45473578,1.2,up
-8.16,1.43194531,1.2,up
-8.04,1.42524223,1.2,up
-7.92,1.39440807,1.2,up
-7.8,1.39172684,1.2,up
-7.68,1.37429883,1.2,up
-7.5600000000000005,1.31128988,1.2,up
-7.4399999999999995,1.30458681,1.2,up
-7.32,1.26302771,1.2,up
-7.2,1.2362154,1.2,up
-7.08,1.19867815,1.175249,up
-6.96,1.15309721,1.134584,up
-6.84,1.1182412,1.093739,up
-6.720000000000001,1.06327595,1.049586,up
-6.6,1.00562947,1.005402,up
-6.48,0.958707914,0.957638,up
-6.36,0.935917445,0.91029,up
-6.24,0.897039585,0.861811,up
-6.12,0.813921402,0.813659,up
-6.0,0.776384158,0.763533,up
-5.88,0.718737676,0.713421,up
-5.76,0.643663188,0.664223,up
-5.640000000000001,0.599422865,0.614486,up
-5.52,0.557863773,0.564636,up
-5.4,0.524348377,0.516015,up
-5.28,0.455976968,0.468165,up
-5.16,0.429164651,0.421842,up
-5.04,0.368836938,0.376723,up
-4.92,0.327277846,0.332847,up
-4.8,0.28705937,0.291114,up
-4.68,0.256225206,0.251546,up
-4.5600000000000005,0.206622419,0.214393,up
-4.44,0.158360248,0.179291,up
-4.32,0.139591626,0.14695,up
-4.2,0.119482388,0.117585,up
-4.08,0.0712202174,0.091165,up
-3.96,0.0618359064,0.067691,up
-3.84,0.0578140588,0.047653,up
-3.7200000000000006,0.0336829734,0.030975,up
-3.6000000000000005,0.018936199,0.017792,up
-3.4800000000000004,0.0310017417,0.00816,up
-3.3600000000000003,0.00553004041,0.002153,up
-3.24,0.000167665484,-0.000101,up
-3.12,0.00150828134,0.001315,up
-3.0,0.0363642051,0.006409,up
-2.88,0.0323423575,0.015173,up
-2.76,0.0336829734,0.027513,up
-2.6400000000000006,0.0417266685,0.043506,up
-2.5200000000000005,0.0953513028,0.062929,up
-2.4000000000000004,0.110098077,0.085933,up
-2.2800000000000002,0.116801157,0.111981,up
-2.16,0.152997785,0.141299,up
-2.04,0.163722711,0.17357,up
-1.92,0.242819047,0.209018,up
-1.8000000000000007,0.292421834,0.246934,up
-1.6800000000000006,0.308509224,0.287363,up
-1.5600000000000005,0.352749547,0.330122,up
-1.4400000000000004,0.414417877,0.375472,up
-1.3200000000000003,0.450614505,0.422174,up
-1.2000000000000002,0.488151749,0.470817,up
-1.08,0.544457615,0.520673,up
-0.9600000000000009,0.586016706,0.572031,up
-0.8399999999999999,0.64634442,0.623641,up
-0.7200000000000006,0.713375213,0.676633,up
-0.5999999999999996,0.748231225,0.729431,up
-0.4800000000000004,0.823305713,0.782066,up
-0.35999999999999943,0.879611579,0.834369,up
-0.2400000000000002,0.925192518,0.886441,up
-0.120000000000001,0.954686067,0.937884,up
0.0,1.04048548,0.988278,up
0.11999999999999922,1.05389164,1.037835,up
0.2400000000000002,1.11019751,1.084775,up
0.35999999999999943,1.15845968,1.129557,up
0.4800000000000004,1.20135938,1.174102,up
0.5999999999999996,1.22951232,1.199177,up
0.7199999999999989,1.26704956,1.2,up
0.8399999999999999,1.33273974,1.2,up
0.9599999999999991,1.33273974,1.2,up
1.08,1.36759575,1.2,up
1.1999999999999993,1.43998901,1.2,up
1.3200000000000003,1.42122038,1.2,up
1.4399999999999995,1.42926408,1.2,up
1.5599999999999987,1.48288871,1.2,up
1.6799999999999997,1.43864839,1.2,up
1.799999999999999,1.50567918,1.2,up
1.92,1.47216379,1.2,up
