transition_discard_index,source_repeat_index,point_ordinal,grid_index,block_index,condition,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,0,0,40,0,none,0.8147635714861234,1784286915.71155,1784286916.60012,1784286916.1558352,1.2,0.195053,0.334189,-0.002505,0.003627,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2871668,2906898,0,0,0,0,1
1,1,0,40,0,none,0.8147635714861234,1784286920.2527502,1784286921.133184,1784286920.692967,1.2,0.194392,0.333309,-0.002448,0.003554,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2895212,2890300,0,0,0,0,1
2,2,0,40,0,none,0.8147635714861234,1784286924.786839,1784286925.661381,1784286925.2241101,1.2,0.193615,0.331942,-0.002482,0.003501,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2770975,2874378,0,0,0,0,1
3,3,0,40,0,none,0.8147635714861234,1784286929.2829068,1784286930.169695,1784286929.7263007,1.2,0.193262,0.331287,-0.002457,0.003565,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2772161,2897752,0,0,0,0,1
4,4,0,40,0,none,0.8147635714861234,1784286933.796122,1784286934.662853,1784286934.2294874,1.2,0.192852,0.330663,-0.002391,0.003536,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2776226,2964486,0,0,0,0,1
5,5,0,40,0,none,0.8147635714861234,1784286938.294642,1784286939.176987,1784286938.7358146,1.2,0.192395,0.330197,-0.002428,0.003632,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2801971,2883186,0,0,0,0,1
6,6,0,40,0,none,0.8147635714861234,1784286942.811944,1784286943.690033,1784286943.2509885,1.2,0.191708,0.329125,-0.002382,0.003547,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2887420,2900378,0,0,0,0,1
7,7,0,40,0,none,0.8147635714861234,1784286947.346953,1784286948.220139,1784286947.783546,1.2,0.191583,0.328877,-0.002448,0.003654,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2763099,2921549,0,0,0,0,1
8,8,0,40,0,none,0.8147635714861234,1784286951.856663,1784286952.7325299,1784286952.2945964,1.2,0.191776,0.329075,-0.00246,0.003566,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2749803,2820094,0,0,0,0,1
9,9,0,40,0,none,0.8147635714861234,1784286956.379422,1784286957.2544918,1784286956.816957,1.2,0.191215,0.328423,-0.002443,0.003568,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2783170,2836184,0,0,0,0,1
10,10,0,40,0,none,0.8147635714861234,1784286960.903849,1784286961.768981,1784286961.3364148,1.2,0.190909,0.327785,-0.002401,0.003637,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2811540,2833559,0,0,0,0,1
11,11,0,40,0,none,0.8147635714861234,1784286965.4037042,1784286966.2896168,1784286965.8466606,1.2,0.190622,0.327044,-0.002482,0.0036,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2784017,2863284,0,0,0,0,1
12,12,0,40,1,gen,0.8147635714861234,1784286977.626127,1784286978.502812,1784286978.0644693,1.2,0.189907,0.326298,-0.002504,0.003543,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2746162,2857272,0,0,0,0,1
13,13,0,40,1,gen,0.8147635714861234,1784286984.348317,1784286985.232128,1784286984.7902224,1.2,0.189792,0.325836,-0.002432,0.003647,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2711694,2827038,0,0,0,0,1
14,14,0,40,1,gen,0.8147635714861234,1784286991.0905468,1784286991.962682,1784286991.5266144,1.2,0.189383,0.325088,-0.002411,0.003585,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2813319,2851598,0,0,0,0,1
15,15,0,40,1,gen,0.8147635714861234,1784286997.797776,1784286998.685072,1784286998.241424,1.2,0.189069,0.3249,-0.002506,0.003643,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2750565,2843976,0,0,0,0,1
16,16,0,40,1,gen,0.8147635714861234,1784287004.57636,1784287005.459915,1784287005.0181375,1.2,0.188772,0.324368,-0.002499,0.003646,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2703394,2814758,0,0,0,0,1
17,17,0,40,1,gen,0.8147635714861234,1784287011.3266718,1784287012.207576,1784287011.767124,1.2,0.188754,0.324463,-0.00248,0.003628,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2702124,2771314,0,0,0,0,1
18,18,0,40,1,gen,0.8147635714861234,1784287018.048477,1784287018.932893,1784287018.490685,1.2,0.188407,0.323796,-0.002397,0.003649,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2711186,2778004,0,0,0,0,1
19,19,0,40,1,gen,0.8147635714861234,1784287024.7587771,1784287025.636249,1784287025.197513,1.2,0.188151,0.32344,-0.002485,0.003631,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2681206,2778936,0,0,0,0,1
20,20,0,40,1,gen,0.8147635714861234,1784287031.469339,1784287032.347144,1784287031.9082413,1.2,0.187768,0.322821,-0.002451,0.003643,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2754715,2839148,0,0,0,0,1
21,21,0,40,1,gen,0.8147635714861234,1784287038.174059,1784287039.05761,1784287038.6158345,1.2,0.187425,0.322345,-0.002452,0.003689,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2806967,2833051,0,0,0,0,1
22,22,0,40,1,gen,0.8147635714861234,1784287044.8777332,1784287045.745832,1784287045.3117826,1.2,0.187266,0.321826,-0.002476,0.003649,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2709407,2782916,0,0,0,0,1
23,23,0,40,1,gen,0.8147635714861234,1784287051.5844648,1784287052.458132,1784287052.0212984,1.2,0.187053,0.321607,-0.002584,0.003731,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2751666,2798583,0,0,0,0,1
24,24,0,40,2,acq,0.8147635714861234,1784287064.976353,1784287065.8576992,1784287065.417026,1.2,0.186902,0.321036,-0.002465,0.003654,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2805358,2838217,0,0,0,0,1
25,25,0,40,2,acq,0.8147635714861234,1784287072.814307,1784287073.709545,1784287073.261926,1.2,0.186379,0.320431,-0.002489,0.003614,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2732103,2798160,0,0,0,0,1
26,26,0,40,2,acq,0.8147635714861234,1784287080.707618,1784287081.5883641,1784287081.1479912,1.2,0.186213,0.32036,-0.002459,0.003665,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2744298,2839318,0,0,0,0,1
27,27,0,40,2,acq,0.8147635714861234,1784287088.575262,1784287089.4549382,1784287089.0151,1.2,0.18576,0.319363,-0.002478,0.00356,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2720162,2893179,0,0,0,0,1
28,28,0,40,2,acq,0.8147635714861234,1784287096.42734,1784287097.312358,1784287096.869849,1.2,0.186099,0.319983,-0.002474,0.003621,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2688405,2784694,0,0,0,0,1
29,29,0,40,2,acq,0.8147635714861234,1784287104.317075,1784287105.1937091,1784287104.755392,1.2,0.185522,0.319186,-0.002568,0.003735,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2740233,2722957,0,0,0,0,1
30,30,0,40,2,acq,0.8147635714861234,1784287112.216609,1784287113.094023,1784287112.6553159,1.2,0.185353,0.318882,-0.002529,0.003663,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2729563,2755562,0,0,0,0,1
31,31,0,40,2,acq,0.8147635714861234,1784287120.043912,1784287120.917898,1784287120.480905,1.2,0.185303,0.318784,-0.00253,0.00374,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2660627,2707544,0,0,0,0,1
32,32,0,40,2,acq,0.8147635714861234,1784287127.912993,1784287128.780855,1784287128.3469238,1.2,0.185,0.318217,-0.002523,0.003741,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2655969,2773600,0,0,0,0,1
33,33,0,40,2,acq,0.8147635714861234,1784287135.758333,1784287136.643029,1784287136.200681,1.2,0.184818,0.317953,-0.002523,0.003744,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2661897,2784017,0,0,0,0,1
34,34,0,40,2,acq,0.8147635714861234,1784287143.587826,1784287144.454585,1784287144.0212054,1.2,0.184532,0.317343,-0.002496,0.00366,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2778936,2855154,0,0,0,0,1
35,35,0,40,2,acq,0.8147635714861234,1784287151.439827,1784287152.3215659,1784287151.8806963,1.2,0.184469,0.317295,-0.002462,0.003706,1,acq,7680,7680,0,6,True,False,1,1200000,8381618,False,-2662152,2770890,0,0,0,0,1
