window_sequence_index,source_repeat_index,window_index,point_ordinal,grid_index,block_index,condition,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,0,0,0,40,0,none,0.8147635714861234,1784286917.0187678,1784286918.0566661,1784286917.5377169,1.2,0.194947,0.333767,-0.002312,0.003473,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2873362,2980577,0,0,0,0,1
1,0,1,0,40,0,none,0.8147635714861234,1784286918.056952,1784286919.095648,1784286918.5763001,1.2,0.194685,0.333322,-0.00235,0.003456,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2885134,2952037,0,0,0,0,1
2,1,0,0,40,0,none,0.8147635714861234,1784286921.545677,1784286922.585948,1784286922.0658126,1.2,0.19427,0.332679,-0.002351,0.003511,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2880984,2915113,0,0,0,0,1
3,1,1,0,40,0,none,0.8147635714861234,1784286922.586143,1784286923.6255748,1784286923.1058588,1.2,0.193987,0.332225,-0.002375,0.003461,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2901732,2964063,0,0,0,0,1
4,2,0,0,40,0,none,0.8147635714861234,1784286926.0806358,1784286927.122308,1784286926.601472,1.2,0.193598,0.331637,-0.002381,0.003477,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2876665,2912742,0,0,0,0,1
5,2,1,0,40,0,none,0.8147635714861234,1784286927.122517,1784286928.143465,1784286927.632991,1.2,0.193291,0.331243,-0.00236,0.00352,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2875733,2960252,0,0,0,0,1
6,3,0,0,40,0,none,0.8147635714861234,1784286930.5822139,1784286931.609733,1784286931.0959735,1.2,0.193253,0.331045,-0.002401,0.003521,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2877681,2917654,0,0,0,0,1
7,3,1,0,40,0,none,0.8147635714861234,1784286931.6099782,1784286932.648625,1784286932.1293015,1.2,0.193196,0.331045,-0.002401,0.003438,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2864555,2990316,0,0,0,0,1
8,4,0,0,40,0,none,0.8147635714861234,1784286935.074368,1784286936.1017642,1784286935.588066,1.2,0.192684,0.330327,-0.002376,0.00351,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2854731,2986166,0,0,0,0,1
9,4,1,0,40,0,none,0.8147635714861234,1784286936.1019561,1784286937.127216,1784286936.614586,1.2,0.192693,0.330164,-0.002364,0.003531,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2849734,2892671,0,0,0,0,1
10,5,0,0,40,0,none,0.8147635714861234,1784286939.597492,1784286940.639612,1784286940.118552,1.2,0.192397,0.32988,-0.002416,0.003518,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2834067,2936031,0,0,0,0,1
11,5,1,0,40,0,none,0.8147635714861234,1784286940.640064,1784286941.671965,1784286941.1560144,1.2,0.192178,0.329511,-0.002386,0.003517,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2815605,2844992,0,0,0,0,1
