role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,dmm_pre_read_count,dmm_post_read_count,discard_read_attempt_count,formal_read_retry_count,t_acq_first_attempt_start_unix
formal,down,2,5,0,10,-4.1462685241556265,-4.015715047954528,0.5,1784372490.026904,1784372491.4679701,10,True,1784372495.57443,1784372497.258504,1784372497.258811,1784372498.912408,1784372498.0860472,0.09685949564999999,1784372498.91259,1784372536.1905322,1784372517.5899086,1784372536.190794,1784372537.8193212,1784372537.004898,0.118644503375,0.5011417597619057,0.1077768727577332,0.09119587500000001,-0.0811205625,-0.1389581875,0.0007704375,-0.001111,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-1296481,1298513,0,0,0,0,16,8,8,1,0,1784372498.91259
formal,up,2,5,1,11,-4.1462685241556265,-4.276822000356725,0.5,1784372539.958268,1784372541.377739,11,True,1784372545.453821,1784372547.122404,1784372547.123472,1784372548.757182,1784372547.9416826,0.121158158125,1784372548.757751,1784372585.904059,1784372567.325673,1784372585.904293,1784372587.537819,1784372586.7208345,0.135737355375,0.4998559681742231,0.12844565688160173,0.11728668749999999,-0.0910029375,-0.15605375,0.0007428125,-0.0010265625,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-1408522,1409708,0,0,0,0,16,8,8,1,0,1784372548.757751
formal,up,37,6,0,12,0.4231031428828276,0.29254966668172866,0.5,1784372635.198849,1784372636.6207519,12,True,1784372640.698714,1784372642.3722088,1784372642.372509,1784372643.9981592,1784372643.1865158,1.2223065075,1784372643.998456,1784372681.134003,1784372662.571921,1784372681.13423,1784372682.756682,1784372681.9459114,1.24057239875,0.5001472546792036,1.2314421428629563,1.2,0.1440143125,0.2474785,-0.0015334374999999999,0.0020652500000000002,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-2233040,2237528,0,0,0,0,16,8,8,1,0,1784372643.998456
formal,down,37,6,1,13,0.4231031428828276,0.5536566190839265,0.5,1784372684.886985,1784372686.3068779,13,True,1784372690.385804,1784372692.0566761,1784372692.057086,1784372693.689622,1784372692.8734374,1.23990209,1784372693.689827,1784372730.81761,1784372712.2552981,1784372730.8178382,1784372732.448266,1784372731.6345747,1.2501242875,0.5000333351800594,1.2450135295087943,1.2,0.14200437500000002,0.244374,-0.0015443125000000001,0.0020716874999999997,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-2230753,8243820,0,0,0,0,16,8,8,1,0,1784372693.689827
formal,down,43,7,0,14,1.2064240000894193,1.3369774762905182,0.5,1784372741.7039318,1784372743.1238039,14,True,1784372747.19915,1784372748.867073,1784372748.867315,1784372750.495605,1784372749.6801703,1.5001491425,1784372750.495787,1784372787.659512,1784372769.0818496,1784372787.6598232,1784372789.2989938,1784372788.4789064,1.50836041625,0.5000595697163981,1.5042552685182484,1.2,0.08179331249999999,0.1409423125,-0.0013601875,0.0020838124999999997,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-1399630,1445954,0,0,0,0,16,8,8,1,0,1784372750.495787
formal,up,43,7,1,15,1.2064240000894193,1.0758705238883204,0.5,1784372791.442799,1784372792.8660538,15,True,1784372796.945525,1784372798.610075,1784372798.610323,1784372800.238317,1784372799.426833,1.5180798812499998,1784372800.238504,1784372837.445942,1784372818.816558,1784372837.446197,1784372839.09852,1784372838.2683125,1.5105389162499998,0.4992015031240023,1.5143154201869944,1.2,0.0796034375,0.13742343750000002,-0.0013714374999999998,0.0020723750000000004,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-1306559,1423173,0,0,0,0,16,8,8,1,0,1784372800.238504
formal,up,48,8,0,16,1.859191381094913,1.728637904893814,0.5,1784372844.1440141,1784372845.581423,16,True,1784372849.725366,1784372851.398656,1784372851.398914,1784372853.0620968,1784372852.226892,1.6072308362499999,1784372853.062284,1784372890.445142,1784372871.7602677,1784372890.445386,1784372892.0961568,1784372891.2644196,1.60270625625,0.5003743054535023,1.6049668526750311,1.2,0.014520937499999999,0.025023000000000004,-0.00097725,0.001654375,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-456127,551316,0,0,0,0,16,8,8,1,0,1784372853.062284
formal,down,48,8,1,17,1.859191381094913,1.989744857296012,0.5,1784372894.250565,1784372895.681609,17,True,1784372899.81165,1784372901.490508,1784372901.490855,1784372903.141717,1784372902.3211312,1.5909758675,1784372903.141918,1784372940.4890969,1784372921.8152533,1784372940.4893482,1784372942.157313,1784372941.323943,1.6052199112499999,0.49981324918668907,1.5980952292882449,1.2,0.011910125,0.020576,-0.0009538125,0.001627125,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-461970,499318,0,0,0,0,16,8,8,1,0,1784372903.141918
formal,down,32,9,0,18,-0.22966423812266612,-0.0991107619215672,0.5,1784372962.866124,1784372964.286845,18,True,1784372968.3601432,1784372970.031117,1784372970.0322392,1784372971.663263,1784372970.848061,1.0083107017500001,1784372971.66346,1784373008.8285902,1784372990.2418098,1784373008.828831,1784373010.4577558,1784373009.6426637,0.9897096555,0.4999084265388267,0.9990118819871866,0.9858085000000001,0.1667640625,0.2862185625,-0.000778125,0.0008027500000000001,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-2487949,2528853,0,0,0,0,16,8,8,1,0,1784372971.66346
formal,up,32,9,1,19,-0.22966423812266612,-0.36021771432376504,0.5,1784373012.594377,1784373014.0225222,19,True,1784373018.0838048,1784373019.7541,1784373019.754411,1784373021.391393,1784373020.5727105,0.996077582,1784373021.391584,1784373058.5216482,1784373039.9589896,1784373058.521894,1784373060.1480289,1784373059.3337913,0.988871771125,0.500148054055489,0.9924736097129768,0.9724368125,0.16746925000000001,0.2877054375,-0.0007689999999999999,0.0007838750000000001,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-2486086,2540032,0,0,0,0,16,8,8,1,0,1784373021.391584
