dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
0,0,pre,0,1784345426.342836,1784345426.5432372,1784345426.4430366,0.305827992
1,0,pre,1,1784345426.543405,1784345426.753542,1784345426.6484735,0.281696907
2,0,pre,2,1784345426.7537339,1784345426.963873,1784345426.8588033,0.289740602
3,0,pre,3,1784345426.964118,1784345427.1701388,1784345427.0671284,0.296443681
4,0,pre,4,1784345427.1703339,1784345427.374023,1784345427.2721784,0.319234151
5,0,pre,5,1784345427.3743858,1784345427.57687,1784345427.475628,0.279015675
6,0,pre,6,1784345427.57725,1784345427.780546,1784345427.6788979,0.272312596
7,0,pre,7,1784345427.780734,1784345427.9908779,1784345427.885806,0.264268901
8,0,post,0,1784345446.6845372,1784345446.8946948,1784345446.789616,0.303146761
9,0,post,1,1784345446.894872,1784345447.103507,1784345446.9991894,0.304487376
10,0,post,2,1784345447.1037078,1784345447.312713,1784345447.2082105,0.289740602
11,0,post,3,1784345447.312931,1784345447.520121,1784345447.416526,0.305827992
12,0,post,4,1784345447.520326,1784345447.7208462,1784345447.620586,0.297784297
13,0,post,5,1784345447.721138,1784345447.931301,1784345447.8262196,0.307168608
14,0,post,6,1784345447.931509,1784345448.139628,1784345448.0355685,0.307168608
15,0,post,7,1784345448.139827,1784345448.345033,1784345448.24243,0.30984984
16,1,pre,0,1784345457.725652,1784345457.935691,1784345457.8306715,0.301806145
17,1,pre,1,1784345457.935891,1784345458.146212,1784345458.0410514,0.304487376
18,1,pre,2,1784345458.146504,1784345458.347809,1784345458.2471566,0.297784297
19,1,pre,3,1784345458.348007,1784345458.554467,1784345458.451237,0.311190456
20,1,pre,4,1784345458.5547369,1784345458.764863,1784345458.6598,0.316552919
21,1,pre,5,1784345458.765126,1784345458.975269,1784345458.8701975,0.299124913
22,1,pre,6,1784345458.9755058,1784345459.1856341,1784345459.08057,0.300465529
23,1,pre,7,1784345459.1858299,1784345459.3907871,1784345459.2883086,0.303146761
24,1,post,0,1784345478.080598,1784345478.2907488,1784345478.1856735,0.315212303
25,1,post,1,1784345478.290952,1784345478.496387,1784345478.3936696,0.321915383
26,1,post,2,1784345478.496796,1784345478.706939,1784345478.6018674,0.327277846
27,1,post,3,1784345478.707139,1784345478.915694,1784345478.8114166,0.320574767
28,1,post,4,1784345478.9159172,1784345479.1176,1784345479.0167584,0.328618462
29,1,post,5,1784345479.117837,1784345479.3279831,1784345479.22291,0.332640309
30,1,post,6,1784345479.3281732,1784345479.537109,1784345479.432641,0.312531072
31,1,post,7,1784345479.5373042,1784345479.7454348,1784345479.6413693,0.323255998
32,2,pre,0,1784345602.630919,1784345602.8372679,1784345602.7340934,0.30984984
33,2,pre,1,1784345602.8375008,1784345603.046237,1784345602.9418688,0.317893535
34,2,pre,2,1784345603.046428,1784345603.256554,1784345603.151491,0.331299694
35,2,pre,3,1784345603.2567549,1784345603.458806,1784345603.3577805,0.320574767
36,2,pre,4,1784345603.459139,1784345603.662174,1784345603.5606565,0.328618462
37,2,pre,5,1784345603.662376,1784345603.863877,1784345603.7631264,0.319234151
38,2,pre,6,1784345603.8640902,1784345604.070602,1784345603.9673462,0.32593723
39,2,pre,7,1784345604.0708039,1784345604.2789602,1784345604.174882,0.328618462
