window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,read_attempt_count,t_first_attempt_start_unix
0,108,0,formal,up,6,54,0,-3.624054619351232,1784379311.5002,1784379313.8233118,1784379312.661756,0.015956,-0.035349,-0.060543,0.001213,-0.001981,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-602043,592558,0,0,0,0,1,1,1784379311.5002
1,108,1,formal,up,6,54,0,-3.624054619351232,1784379313.823572,1784379316.1354299,1784379314.9795008,0.016558,-0.035967,-0.061606,0.001208,-0.001992,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-603060,590187,0,0,0,0,1,1,1784379313.823572
2,108,2,formal,up,6,54,0,-3.624054619351232,1784379316.135679,1784379318.456577,1784379317.296128,0.017099,-0.036481,-0.062514,0.001226,-0.001987,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-612714,612121,0,0,0,0,1,1,1784379316.135679
3,108,3,formal,up,6,54,0,-3.624054619351232,1784379318.4568,1784379320.7734149,1784379319.6151075,0.017625,-0.037002,-0.063359,0.00123,-0.001991,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-644218,618049,0,0,0,0,1,1,1784379318.4568
4,108,4,formal,up,6,54,0,-3.624054619351232,1784379320.773639,1784379323.088104,1784379321.9308715,0.018159,-0.037483,-0.064222,0.001233,-0.002005,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-633124,628127,0,0,0,0,1,1,1784379320.773639
5,108,5,formal,up,6,54,0,-3.624054619351232,1784379323.088325,1784379325.40874,1784379324.2485325,0.018666,-0.037957,-0.06512,0.001227,-0.002015,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-644641,627873,0,0,0,0,1,1,1784379323.088325
6,108,6,formal,up,6,54,0,-3.624054619351232,1784379325.408993,1784379327.726675,1784379326.567834,0.019163,-0.038408,-0.065873,0.001247,-0.002007,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-650569,643202,0,0,0,0,1,1,1784379325.408993
7,108,7,formal,up,6,54,0,-3.624054619351232,1784379327.726968,1784379330.050359,1784379328.8886635,0.019636,-0.03889,-0.066637,0.001246,-0.002019,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-659970,638290,0,0,0,0,1,1,1784379327.726968
8,108,8,formal,up,6,54,0,-3.624054619351232,1784379330.0506098,1784379332.3654249,1784379331.2080173,0.020135,-0.039309,-0.067416,0.001244,-0.002022,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-652348,643117,0,0,0,0,1,1,1784379330.0506098
9,108,9,formal,up,6,54,0,-3.624054619351232,1784379332.36564,1784379334.686374,1784379333.526007,0.020584,-0.039703,-0.068109,0.001253,-0.002027,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-664035,651247,0,0,0,0,1,1,1784379332.36564
10,108,10,formal,up,6,54,0,-3.624054619351232,1784379334.686662,1784379337.013236,1784379335.849949,0.021046,-0.040117,-0.068767,0.001239,-0.002054,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-679448,664543,0,0,0,0,1,1,1784379334.686662
11,108,11,formal,up,6,54,0,-3.624054619351232,1784379337.013463,1784379339.3255522,1784379338.1695075,0.021473,-0.040523,-0.069454,0.001265,-0.002034,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-672419,669201,0,0,0,0,1,1,1784379337.013463
12,108,12,formal,up,6,54,0,-3.624054619351232,1784379339.325799,1784379341.638568,1784379340.4821835,0.021927,-0.040848,-0.070064,0.001243,-0.002046,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-694268,674028,0,0,0,0,1,1,1784379339.325799
13,108,13,formal,up,6,54,0,-3.624054619351232,1784379341.63879,1784379343.954082,1784379342.7964358,0.022346,-0.041216,-0.070714,0.001271,-0.002069,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-687070,685969,0,0,0,0,1,1,1784379341.63879
14,108,14,formal,up,6,54,0,-3.624054619351232,1784379343.954346,1784379346.267734,1784379345.11104,0.022738,-0.041547,-0.0713,0.001257,-0.002057,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-697571,675298,0,0,0,0,1,1,1784379343.954346
15,108,15,formal,up,6,54,0,-3.624054619351232,1784379346.2680068,1784379348.59343,1784379347.4307184,0.023193,-0.041948,-0.071985,0.001267,-0.002074,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-708580,685799,0,0,0,0,1,1,1784379346.2680068
16,109,0,formal,down,6,54,1,-3.624054619351232,1784379361.1489081,1784379363.466744,1784379362.307826,0.025672,-0.044037,-0.07546,0.001276,-0.002077,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-739661,711544,0,0,0,0,1,1,1784379361.1489081
17,109,1,formal,down,6,54,1,-3.624054619351232,1784379363.466964,1784379365.791929,1784379364.6294465,0.026037,-0.04433,-0.07598,0.001299,-0.002092,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-730938,714254,0,0,0,0,1,1,1784379363.466964
18,109,2,formal,down,6,54,1,-3.624054619351232,1784379365.79216,1784379368.110403,1784379366.9512815,0.026436,-0.044648,-0.076514,0.001284,-0.002067,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-739576,729668,0,0,0,0,1,1,1784379365.79216
