sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,108,0,0.0,-0.1294692446742183,-0.1294692446742183,1784379262.934299,1784379264.358824,1784379263.6465616,1.06193534,"[dac] CH_A set to -0.130 V (code=32343)
"
1,108,1,-0.1294692446742183,-0.2589384893484366,-0.1294692446742183,1784379264.359033,1784379265.780833,1784379265.069933,0.981498384,"[dac] CH_A set to -0.259 V (code=31919)
"
2,108,2,-0.2589384893484366,-0.38840773402265494,-0.12946924467421833,1784379265.7811258,1784379267.2034078,1784379266.4922667,0.956026683,"[dac] CH_A set to -0.388 V (code=31495)
"
3,108,3,-0.38840773402265494,-0.5178769786968732,-0.12946924467421828,1784379267.2036102,1784379268.623436,1784379267.9135232,0.899720817,"[dac] CH_A set to -0.518 V (code=31070)
"
4,108,4,-0.5178769786968732,-0.6473462233710915,-0.12946924467421828,1784379268.623658,1784379270.046311,1784379269.3349843,0.83403064,"[dac] CH_A set to -0.647 V (code=30646)
"
5,108,5,-0.6473462233710915,-0.7768154680453099,-0.1294692446742184,1784379270.0464609,1784379271.467214,1784379270.7568374,0.77906539,"[dac] CH_A set to -0.777 V (code=30222)
"
6,108,6,-0.7768154680453099,-0.9062847127195282,-0.12946924467421828,1784379271.4674401,1784379272.8841758,1784379272.175808,0.70130967,"[dac] CH_A set to -0.906 V (code=29798)
"
7,108,7,-0.9062847127195282,-1.0357539573937464,-0.12946924467421828,1784379272.884359,1784379274.305279,1784379273.594819,0.63025703,"[dac] CH_A set to -1.036 V (code=29373)
"
8,108,8,-1.0357539573937464,-1.1652232020679647,-0.12946924467421828,1784379274.3054569,1784379275.725678,1784379275.0155673,0.596741633,"[dac] CH_A set to -1.165 V (code=28949)
"
9,108,9,-1.1652232020679647,-1.294692446742183,-0.12946924467421828,1784379275.725866,1784379277.1391182,1784379276.4324923,0.539095151,"[dac] CH_A set to -1.295 V (code=28525)
"
10,108,10,-1.294692446742183,-1.4241616914164013,-0.12946924467421828,1784379277.1393018,1784379278.556993,1784379277.8481474,0.461339432,"[dac] CH_A set to -1.424 V (code=28101)
"
11,108,11,-1.4241616914164013,-1.5536309360906198,-0.1294692446742185,1784379278.5572102,1784379279.9797518,1784379279.268481,0.386264944,"[dac] CH_A set to -1.554 V (code=27677)
"
12,108,12,-1.5536309360906198,-1.683100180764838,-0.12946924467421828,1784379279.979945,1784379281.401611,1784379280.690778,0.384924328,"[dac] CH_A set to -1.683 V (code=27252)
"
13,108,13,-1.683100180764838,-1.8125694254390563,-0.12946924467421828,1784379281.402117,1784379282.823476,1784379282.1127965,0.317893535,"[dac] CH_A set to -1.813 V (code=26828)
"
14,108,14,-1.8125694254390563,-1.9420386701132746,-0.12946924467421828,1784379282.823649,1784379284.2359512,1784379283.5298,0.266950132,"[dac] CH_A set to -1.942 V (code=26404)
"
15,108,15,-1.9420386701132746,-2.071507914787493,-0.12946924467421828,1784379284.236116,1784379285.658098,1784379284.9471068,0.209303651,"[dac] CH_A set to -2.072 V (code=25980)
"
16,108,16,-2.071507914787493,-2.2009771594617114,-0.1294692446742185,1784379285.6583009,1784379287.0774632,1784379286.367882,0.185172565,"[dac] CH_A set to -2.201 V (code=25555)
"
17,108,17,-2.2009771594617114,-2.3304464041359294,-0.12946924467421805,1784379287.077678,1784379288.4933078,1784379287.785493,0.167744559,"[dac] CH_A set to -2.330 V (code=25131)
"
18,108,18,-2.3304464041359294,-2.459915648810148,-0.1294692446742185,1784379288.493541,1784379289.913425,1784379289.203483,0.102054382,"[dac] CH_A set to -2.460 V (code=24707)
"
19,108,19,-2.459915648810148,-2.589384893484366,-0.12946924467421805,1784379289.913613,1784379291.339873,1784379290.626743,0.0739014491,"[dac] CH_A set to -2.589 V (code=24283)
"
20,108,20,-2.589384893484366,-2.7188541381585845,-0.1294692446742185,1784379291.340076,1784379292.752482,1784379292.046279,0.0604952905,"[dac] CH_A set to -2.719 V (code=23858)
"
21,108,21,-2.7188541381585845,-2.8483233828328025,-0.12946924467421805,1784379292.752713,1784379294.170648,1784379293.4616804,0.0403860527,"[dac] CH_A set to -2.848 V (code=23434)
"
22,108,22,-2.8483233828328025,-2.977792627507021,-0.1294692446742185,1784379294.170887,1784379295.588352,1784379294.8796196,0.0310017417,"[dac] CH_A set to -2.978 V (code=23010)
"
23,108,23,-2.977792627507021,-3.1072618721812395,-0.1294692446742185,1784379295.588594,1784379297.0092878,1784379296.298941,0.0135737355,"[dac] CH_A set to -3.107 V (code=22586)
"
24,108,24,-3.1072618721812395,-3.2367311168554576,-0.12946924467421805,1784379297.009537,1784379298.429735,1784379297.719636,0.0149143514,"[dac] CH_A set to -3.237 V (code=22162)
"
25,108,25,-3.2367311168554576,-3.366200361529676,-0.1294692446742185,1784379298.429947,1784379299.8531148,1784379299.141531,0.0350235893,"[dac] CH_A set to -3.366 V (code=21737)
"
26,108,26,-3.366200361529676,-3.495669606203894,-0.12946924467421805,1784379299.853329,1784379301.273503,1784379300.563416,0.0108925038,"[dac] CH_A set to -3.496 V (code=21313)
"
27,108,27,-3.495669606203894,-3.6251388508781126,-0.1294692446742185,1784379301.273676,1784379302.6901278,1784379301.981902,0.000167619806,"[dac] CH_A set to -3.625 V (code=20889)
"
28,108,28,-3.6251388508781126,-3.754608095552331,-0.1294692446742185,1784379302.69034,1784379304.107062,1784379303.3987012,0.0537922112,"[dac] CH_A set to -3.755 V (code=20465)
"
29,109,0,-3.624054619351232,-3.5587778812506827,0.06527673810054946,1784379350.936983,1784379352.355639,1784379351.646311,0.0229580465,"[dac] CH_A set to -3.559 V (code=21106)
"
30,109,1,-3.5587778812506827,-3.4935011431501333,0.06527673810054946,1784379352.3558478,1784379353.779357,1784379353.0676024,0.0336829734,"[dac] CH_A set to -3.493 V (code=21320)
"
31,110,0,-3.624054619351232,-3.4953661928101494,0.1286884265410828,1784379400.62784,1784379402.043961,1784379401.3359005,0.0444079002,"[dac] CH_A set to -3.495 V (code=21314)
"
32,110,1,-3.4953661928101494,-3.366677766269066,0.12868842654108326,1784379402.0441668,1784379403.4636438,1784379402.7539053,0.0511109795,"[dac] CH_A set to -3.367 V (code=21736)
"
33,110,2,-3.366677766269066,-3.2379893397279833,0.1286884265410828,1784379403.463837,1784379404.882754,1784379404.1732955,0.0135737355,"[dac] CH_A set to -3.238 V (code=22157)
"
34,110,3,-3.2379893397279833,-3.1093009131869,0.12868842654108326,1784379404.8829498,1784379406.309335,1784379405.5961423,0.018936199,"[dac] CH_A set to -3.109 V (code=22579)
"
35,110,4,-3.1093009131869,-2.9806124866458172,0.1286884265410828,1784379406.309519,1784379407.7313762,1784379407.0204477,0.0149143514,"[dac] CH_A set to -2.981 V (code=23001)
"
36,110,5,-2.9806124866458172,-2.851924060104734,0.12868842654108326,1784379407.731573,1784379409.1590211,1784379408.4452972,0.0323423575,"[dac] CH_A set to -2.852 V (code=23423)
"
37,110,6,-2.851924060104734,-2.723235633563651,0.1286884265410828,1784379409.159219,1784379410.5722299,1784379409.8657246,0.0162549673,"[dac] CH_A set to -2.723 V (code=23844)
"
38,110,7,-2.723235633563651,-2.5945472070225684,0.1286884265410828,1784379410.572494,1784379411.9828858,1784379411.27769,0.0216174307,"[dac] CH_A set to -2.595 V (code=24266)
"
39,110,8,-2.5945472070225684,-2.465858780481485,0.12868842654108326,1784379411.983128,1784379413.408996,1784379412.696062,0.0792639125,"[dac] CH_A set to -2.466 V (code=24687)
"
40,110,9,-2.465858780481485,-2.337170353940402,0.12868842654108326,1784379413.409197,1784379414.825074,1784379414.1171355,0.0913294552,"[dac] CH_A set to -2.337 V (code=25109)
"
41,110,10,-2.337170353940402,-2.208481927399319,0.1286884265410828,1784379414.825273,1784379416.2470138,1784379415.5361433,0.13825101,"[dac] CH_A set to -2.208 V (code=25531)
"
42,110,11,-2.208481927399319,-2.079793500858236,0.1286884265410828,1784379416.247236,1784379417.65914,1784379416.953188,0.143613474,"[dac] CH_A set to -2.080 V (code=25953)
"
43,110,12,-2.079793500858236,-1.9511050743171532,0.12868842654108303,1784379417.659364,1784379419.079059,1784379418.3692114,0.16104148,"[dac] CH_A set to -1.951 V (code=26374)
"
44,110,13,-1.9511050743171532,-1.8224166477760702,0.12868842654108303,1784379419.079266,1784379420.497754,1784379419.78851,0.23209412,"[dac] CH_A set to -1.822 V (code=26796)
"
45,110,14,-1.8224166477760702,-1.6937282212349871,0.12868842654108303,1784379420.497996,1784379421.916094,1784379421.207045,0.272312596,"[dac] CH_A set to -1.694 V (code=27218)
"
46,110,15,-1.6937282212349871,-1.565039794693904,0.12868842654108303,1784379421.916403,1784379423.343261,1784379422.629832,0.34202462,"[dac] CH_A set to -1.565 V (code=27639)
"
47,110,16,-1.565039794693904,-1.4363513681528213,0.1286884265410828,1784379423.3435268,1784379424.760957,1784379424.0522418,0.386264944,"[dac] CH_A set to -1.436 V (code=28061)
"
48,110,17,-1.4363513681528213,-1.307662941611738,0.12868842654108326,1784379424.761229,1784379426.1776268,1784379425.469428,0.388946175,"[dac] CH_A set to -1.308 V (code=28482)
"
49,110,18,-1.307662941611738,-1.1789745150706552,0.1286884265410828,1784379426.177803,1784379427.6022122,1784379426.8900075,0.469383127,"[dac] CH_A set to -1.179 V (code=28904)
"
50,110,19,-1.1789745150706552,-1.050286088529572,0.12868842654108326,1784379427.602412,1784379429.029567,1784379428.3159895,0.532392072,"[dac] CH_A set to -1.050 V (code=29326)
"
51,110,20,-1.050286088529572,-0.9215976619884891,0.1286884265410828,1784379429.029824,1784379430.453745,1784379429.7417846,0.608807176,"[dac] CH_A set to -0.922 V (code=29748)
"
52,110,21,-0.9215976619884891,-0.7929092354474059,0.12868842654108326,1784379430.453986,1784379431.8705122,1784379431.162249,0.626235182,"[dac] CH_A set to -0.793 V (code=30169)
"
53,110,22,-0.7929092354474059,-0.6642208089063231,0.1286884265410828,1784379431.870688,1784379433.290428,1784379432.5805578,0.68522228,"[dac] CH_A set to -0.664 V (code=30591)
"
54,110,23,-0.6642208089063231,-0.5355323823652403,0.1286884265410828,1784379433.2906291,1784379434.7074492,1784379433.9990392,0.762977999,"[dac] CH_A set to -0.535 V (code=31013)
"
