bias,dc_dmm,dc_board,dir
7.800000000000001,0.0792639125,0.050143,up
7.919999999999998,0.108757461,0.071836,up
8.04,0.107416846,0.097193,up
8.16,0.162382096,0.126007,up
8.280000000000001,0.17712887,0.158273,up
8.399999999999999,0.234775352,0.193921,up
8.52,0.245500279,0.232377,up
8.64,0.280356291,0.273475,up
8.759999999999998,0.360793242,0.317118,up
8.879999999999999,0.406374182,0.363303,up
9.0,0.457317584,0.411931,up
9.0,0.43586773,0.431706,down
8.879999999999999,0.414417877,0.403833,down
8.759999999999998,0.359452627,0.362549,down
8.64,0.320574767,0.322349,down
8.52,0.281696907,0.283353,down
8.399999999999999,0.246840895,0.246361,down
8.280000000000001,0.203941187,0.211137,down
8.16,0.186513181,0.177801,down
8.04,0.150316553,0.146893,down
7.919999999999998,0.12216362,0.118661,down
7.800000000000001,0.0725608332,0.093098,down
7.68,0.0604952905,0.070359,down
7.559999999999999,0.075242065,0.050459,down
7.439999999999998,0.0242986624,0.033825,down
7.32,0.0390454368,0.020382,down
7.199999999999999,0.0229580465,0.010168,down
7.079999999999998,-0.00385413641,0.00336,down
6.959999999999999,-0.0105568503,1.7e-05,down
6.84,-0.00921641997,0.000162,down
6.719999999999999,0.00553012891,0.003789,down
6.6,0.00955188798,0.010895,down
6.479999999999999,0.0162549673,0.02143,down
6.359999999999999,0.056473443,0.035333,down
6.24,0.0873076077,0.0526,down
6.119999999999999,0.108757461,0.073195,down
6.0,0.120823004,0.0971,down
5.879999999999999,0.134229163,0.123999,down
5.76,0.190535029,0.153915,down
5.639999999999999,0.191875644,0.186565,down
5.52,0.224050425,0.222366,down
5.399999999999999,0.276334443,0.260464,down
5.279999999999999,0.316552919,0.301082,down
5.16,0.378221249,0.343261,down
5.039999999999999,0.417099108,0.388645,down
4.92,0.472064358,0.434876,down
4.799999999999999,0.524348377,0.482586,down
4.68,0.549820078,0.53194,down
4.559999999999999,0.596741633,0.582718,down
4.4399999999999995,0.663772426,0.633354,down
4.32,0.738846914,0.685638,down
4.199999999999999,0.768340463,0.737222,down
4.08,0.815262018,0.788341,down
3.959999999999999,0.870227268,0.839746,down
3.84,0.92117067,0.891055,down
3.719999999999999,0.970773457,0.941312,down
3.5999999999999996,1.02841994,0.990394,down
3.4800000000000004,1.06595718,1.039002,down
3.3599999999999994,1.09008827,1.085586,down
3.24,1.17454707,1.130275,down
3.119999999999999,1.19867815,1.172263,down
3.0,1.26302771,1.198968,down
2.879999999999999,1.26839018,1.2,down
2.76,1.32469604,1.2,down
2.639999999999999,1.35016774,1.2,down
2.5199999999999996,1.39306745,1.2,down
2.4000000000000004,1.38368314,1.2,down
2.2799999999999994,1.40647361,1.2,down
2.16,1.41853915,1.2,down
2.039999999999999,1.45741701,1.2,down
1.92,1.4560764,1.2,down
1.799999999999999,1.45071393,1.2,down
1.6799999999999997,1.4989761,1.2,down
1.5599999999999987,1.48691056,1.2,down
1.4399999999999995,1.47752625,1.2,down
1.3200000000000003,1.44401085,1.2,down
1.1999999999999993,1.43596716,1.2,down
1.08,1.4306047,1.2,down
0.9599999999999991,1.40781423,1.2,down
0.8399999999999999,1.40111115,1.2,down
0.7199999999999989,1.38234253,1.2,down
0.5999999999999996,1.3461459,1.2,down
0.4800000000000004,1.30860865,1.2,down
0.35999999999999943,1.27643387,1.2,down
0.2400000000000002,1.26034648,1.2,down
0.11999999999999922,1.19331569,1.18052,down
