repeat_sequence_index,point_ordinal,grid_index,block_index,condition,condition_ordinal,repeat_index,bias,approach_bias,restart_gen,restart_acq,t_restart_start_unix,t_restart_end_unix,t_discard_start_unix,t_discard_end_unix,t_dmm_pre1_start_unix,t_dmm_pre1_end_unix,dc_dmm_pre1,t_dmm_pre2_start_unix,t_dmm_pre2_end_unix,dc_dmm_pre2,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post1_start_unix,t_dmm_post1_end_unix,dc_dmm_post1,t_dmm_post2_start_unix,t_dmm_post2_end_unix,dc_dmm_post2,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,0,40,0,none,0,0,0.8147635714861234,0.6842100952850247,0,0,1784287384.8195379,1784287384.8195379,1784287385.549567,1784287386.4321668,1784287386.434273,1784287386.642318,1.57673182,1784287386.642326,1784287386.849206,1.6169503,1784287386.849212,1784287388.92292,1784287387.8865447,1784287388.923525,1784287389.1328409,1.59684106,1784287389.132846,1784287389.3433,1.6089066,1.2,0.1908875,0.3272115,-0.002347,0.003573,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2867011,3005644,0,0,0,0,2
1,0,40,0,none,0,1,0.8147635714861234,0.6842100952850247,0,0,1784287389.345275,1784287389.345275,1784287390.088553,1784287390.969312,1784287390.969569,1784287391.179838,1.58075367,1784287391.1798432,1784287391.390347,1.56868813,1784287391.390359,1784287393.469704,1784287392.430136,1784287393.4702048,1784287393.677488,1.59684106,1784287393.677494,1784287393.8864279,1.57539121,1.2,0.190388,0.32646850000000005,-0.002354,0.003595,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2870906,2924175,0,0,0,0,2
2,0,40,0,none,0,2,0.8147635714861234,0.6842100952850247,0,0,1784287393.890027,1784287393.890027,1784287394.625946,1784287395.506201,1784287395.5071669,1784287395.7167811,1.58075367,1784287395.716786,1784287395.926427,1.60220353,1784287395.926433,1784287397.9950678,1784287396.9615278,1784287397.995561,1784287398.2031412,1.59281921,1784287398.203145,1784287398.411607,1.60488476,1.2,0.18993749999999998,0.32574349999999996,-0.002402,0.0035885,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2824582,2872600,0,0,0,0,2
3,0,40,0,none,0,3,0.8147635714861234,0.6842100952850247,0,0,1784287398.41791,1784287398.41791,1784287399.138571,1784287400.022795,1784287400.023013,1784287400.232981,1.59415983,1784287400.2329862,1784287400.443145,1.58477552,1784287400.443152,1784287402.528073,1784287401.4856167,1784287402.5282712,1784287402.73861,1.58611614,1784287402.738615,1784287402.948647,1.58209429,1.2,0.18956299999999998,0.3251915,-0.002362,0.003604,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2767164,2844653,0,0,0,0,2
4,0,40,0,none,0,4,0.8147635714861234,0.6842100952850247,0,0,1784287402.952223,1784287402.952223,1784287403.695911,1784287404.568952,1784287404.5691452,1784287404.7722619,1.58611614,1784287404.772265,1784287404.9797919,1.58745675,1784287404.979795,1784287407.054129,1784287406.0152366,1784287407.05464,1784287407.267924,1.60488476,1784287407.267929,1784287407.4774988,1.56868813,1.2,0.18913,0.324467,-0.002336,0.0035849999999999996,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2850835,2940519,0,0,0,0,2
5,0,40,0,none,0,5,0.8147635714861234,0.6842100952850247,0,0,1784287407.481278,1784287407.481278,1784287408.2209249,1784287409.1030211,1784287409.1038551,1784287409.312845,1.59818168,1784287409.31285,1784287409.519779,1.5660069,1784287409.519785,1784287411.610005,1784287410.564878,1784287411.610465,1784287411.8225658,1.59550045,1784287411.822569,1784287412.0298848,1.59415983,1.2,0.188701,0.3238135,-0.0024025,0.003593,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2843552,2931288,0,0,0,0,2
6,0,40,0,none,0,6,0.8147635714861234,0.6842100952850247,0,0,1784287412.031945,1784287412.031945,1784287412.766356,1784287413.6442041,1784287413.645322,1784287413.8568718,1.57136936,1784287413.856874,1784287414.0705988,1.59818168,1784287414.070605,1784287416.153335,1784287415.1109076,1784287416.153824,1784287416.362095,1.60220353,1784287416.3621,1784287416.5679932,1.57136936,1.2,0.1883825,0.3233315,-0.0023945,0.003611,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2798160,2893518,0,0,0,0,2
7,0,40,0,none,0,7,0.8147635714861234,0.6842100952850247,0,0,1784287416.569792,1784287416.569792,1784287417.295722,1784287418.169905,1784287418.1704519,1784287418.377344,1.58745675,1784287418.3773491,1784287418.5857449,1.60756599,1784287418.585751,1784287420.6763048,1784287419.630827,1784287420.676776,1784287420.88513,1.63169707,1784287420.8851352,1784287421.096113,1.60086291,1.2,0.18817499999999998,0.32304849999999996,-0.002397,0.003613,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2799007,2861845,0,0,0,0,2
8,0,40,0,none,0,8,0.8147635714861234,0.6842100952850247,0,0,1784287421.096967,1784287421.096967,1784287421.8379898,1784287422.718124,1784287422.718664,1784287422.928096,1.59952229,1784287422.928101,1784287423.1364748,1.59550045,1784287423.1364841,1784287425.2116292,1784287424.1747303,1784287425.21343,1784287425.423628,1.59952229,1784287425.4236329,1784287425.633454,1.56734751,1.2,0.18799,0.322666,-0.0024055,0.0035814999999999996,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2798583,2888606,0,0,0,0,2
9,0,40,0,none,0,9,0.8147635714861234,0.6842100952850247,0,0,1784287425.637069,1784287425.637069,1784287426.369229,1784287427.244114,1784287427.245328,1784287427.455096,1.58075367,1784287427.455101,1784287427.6660428,1.57002875,1784287427.6660511,1784287429.752714,1784287428.7090087,1784287429.75342,1784287429.961666,1.59550045,1784287429.96167,1784287430.170316,1.58879737,1.2,0.1876675,0.32226299999999997,-0.0023815,0.0036295,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2791215,2838471,0,0,0,0,2
