window_sequence_index,source_repeat_index,window_index,point_ordinal,grid_index,block_index,condition,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
0,0,0,0,40,0,none,0.8147635714861234,1784287386.849212,1784287387.886744,1784287387.367978,1.2,0.190947,0.327373,-0.002377,0.00357,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2801632,3005644,0,0,0,0,1
1,0,1,0,40,0,none,0.8147635714861234,1784287387.8873029,1784287388.92292,1784287388.4051113,1.2,0.190828,0.32705,-0.002317,0.003576,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2867011,2958558,0,0,0,0,1
2,1,0,0,40,0,none,0.8147635714861234,1784287391.390359,1784287392.429987,1784287391.910173,1.2,0.190444,0.326537,-0.002345,0.003584,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2870906,2924175,0,0,0,0,1
3,1,1,0,40,0,none,0.8147635714861234,1784287392.430494,1784287393.469704,1784287392.950099,1.2,0.190332,0.3264,-0.002363,0.003606,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2806036,2888352,0,0,0,0,1
4,2,0,0,40,0,none,0.8147635714861234,1784287395.926433,1784287396.9619951,1784287396.444214,1.2,0.19005,0.326009,-0.002382,0.003575,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2773177,2817468,0,0,0,0,1
5,2,1,0,40,0,none,0.8147635714861234,1784287396.962616,1784287397.9950678,1784287397.4788418,1.2,0.189825,0.325478,-0.002422,0.003602,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2824582,2872600,0,0,0,0,1
6,3,0,0,40,0,none,0.8147635714861234,1784287400.443152,1784287401.485365,1784287400.9642584,1.2,0.189636,0.325284,-0.002366,0.003599,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2757256,2813319,0,0,0,0,1
7,3,1,0,40,0,none,0.8147635714861234,1784287401.485876,1784287402.528073,1784287402.0069747,1.2,0.18949,0.325099,-0.002358,0.003609,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2767164,2844653,0,0,0,0,1
8,4,0,0,40,0,none,0.8147635714861234,1784287404.979795,1784287406.013192,1784287405.4964933,1.2,0.189215,0.324626,-0.002336,0.003609,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2850835,2940519,0,0,0,0,1
9,4,1,0,40,0,none,0.8147635714861234,1784287406.013831,1784287407.054129,1784287406.53398,1.2,0.189045,0.324308,-0.002336,0.003561,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2772415,2814758,0,0,0,0,1
10,5,0,0,40,0,none,0.8147635714861234,1784287409.519785,1784287410.564766,1784287410.0422754,1.2,0.188604,0.323656,-0.002409,0.003591,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2843552,2931288,0,0,0,0,1
11,5,1,0,40,0,none,0.8147635714861234,1784287410.564956,1784287411.610005,1784287411.0874805,1.2,0.188798,0.323971,-0.002396,0.003595,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2809338,2793248,0,0,0,0,1
12,6,0,0,40,0,none,0.8147635714861234,1784287414.070605,1784287415.10959,1784287414.5900974,1.2,0.18843,0.323447,-0.002379,0.003563,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2756493,2893518,0,0,0,0,1
13,6,1,0,40,0,none,0.8147635714861234,1784287415.1101,1784287416.153335,1784287415.6317177,1.2,0.188335,0.323216,-0.00241,0.003659,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2798160,2843298,0,0,0,0,1
14,7,0,0,40,0,none,0.8147635714861234,1784287418.585751,1784287419.6303492,1784287419.10805,1.2,0.188163,0.323167,-0.002396,0.003621,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2785965,2792909,0,0,0,0,1
15,7,1,0,40,0,none,0.8147635714861234,1784287419.630903,1784287420.6763048,1784287420.153604,1.2,0.188187,0.32293,-0.002398,0.003605,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2799007,2861845,0,0,0,0,1
16,8,0,0,40,0,none,0.8147635714861234,1784287423.1364841,1784287424.1750112,1784287423.6557477,1.2,0.187968,0.322748,-0.002418,0.003609,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2755647,2843637,0,0,0,0,1
17,8,1,0,40,0,none,0.8147635714861234,1784287424.175797,1784287425.2116292,1784287424.6937132,1.2,0.188012,0.322584,-0.002393,0.003554,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2798583,2888606,0,0,0,0,1
18,9,0,0,40,0,none,0.8147635714861234,1784287427.6660511,1784287428.708124,1784287428.1870875,1.2,0.187693,0.322297,-0.002374,0.003654,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2759034,2818908,0,0,0,0,1
19,9,1,0,40,0,none,0.8147635714861234,1784287428.709146,1784287429.752714,1784287429.2309299,1.2,0.187642,0.322229,-0.002389,0.003605,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2791215,2838471,0,0,0,0,1
20,10,0,0,40,0,none,0.8147635714861234,1784287432.2122939,1784287433.250603,1784287432.7314484,1.2,0.187383,0.321871,-0.00242,0.003579,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2848803,2820263,0,0,0,0,1
21,10,1,0,40,0,none,0.8147635714861234,1784287433.2511082,1784287434.30228,1784287433.776694,1.2,0.187484,0.322037,-0.002427,0.003633,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2746670,2839233,0,0,0,0,1
22,11,0,0,40,0,none,0.8147635714861234,1784287436.75239,1784287437.798215,1784287437.2753024,1.2,0.187212,0.321603,-0.002377,0.003613,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2767333,2846686,0,0,0,0,1
23,11,1,0,40,0,none,0.8147635714861234,1784287437.798764,1784287438.828852,1784287438.313808,1.2,0.187288,0.321681,-0.002395,0.003677,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-2797228,2859473,0,0,0,0,1
