sequence_index,point_ordinal,bridge_step_index,is_target,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,0,0,0,0.0,0.11403501588083746,0.11403501588083746,1784287369.150864,1784287370.598164,1784287369.874514,1.3381022,"[dac] CH_A set to +0.114 V (code=33141)
"
1,0,1,0,0.11403501588083746,0.22807003176167492,0.11403501588083746,1784287370.598676,1784287372.038142,1784287371.318409,1.41317669,"[dac] CH_A set to +0.228 V (code=33515)
"
2,0,2,0,0.22807003176167492,0.34210504764251237,0.11403501588083745,1784287372.0387352,1784287373.4910688,1784287372.764902,1.43596716,"[dac] CH_A set to +0.342 V (code=33888)
"
3,0,3,0,0.34210504764251237,0.45614006352334985,0.11403501588083748,1784287373.491251,1784287374.9449658,1784287374.2181084,1.50165734,"[dac] CH_A set to +0.456 V (code=34262)
"
4,0,4,0,0.45614006352334985,0.5701750794041873,0.11403501588083748,1784287374.94717,1784287376.404734,1784287375.675952,1.50567918,"[dac] CH_A set to +0.570 V (code=34636)
"
5,0,5,0,0.5701750794041873,0.6842100952850247,0.11403501588083742,1784287376.405257,1784287377.850354,1784287377.1278055,1.52981027,"[dac] CH_A set to +0.684 V (code=35009)
"
6,0,6,1,0.6842100952850247,0.8147635714861234,0.1305534762010987,1784287377.850566,1784287379.2927969,1784287378.5716815,1.58209429,"[dac] CH_A set to +0.815 V (code=35437)
"
7,1,0,0,0.8147635714861234,0.6842100952850247,-0.1305534762010987,1784287752.925674,1784287754.374371,1784287753.6500225,1.58477552,"[dac] CH_A set to +0.684 V (code=35009)
"
8,1,1,0,0.6842100952850247,0.553656619083926,-0.1305534762010987,1784287754.375084,1784287755.834761,1784287755.1049223,1.4989761,"[dac] CH_A set to +0.554 V (code=34582)
"
9,1,2,0,0.553656619083926,0.42310314288282735,-0.1305534762010987,1784287755.834987,1784287757.287031,1784287756.561009,1.48825118,"[dac] CH_A set to +0.423 V (code=34154)
"
10,1,3,0,0.42310314288282735,0.29254966668172866,-0.1305534762010987,1784287757.287734,1784287758.738372,1784287758.013053,1.4560764,"[dac] CH_A set to +0.292 V (code=33726)
"
11,1,4,0,0.29254966668172866,0.16199619048062996,-0.1305534762010987,1784287758.739456,1784287760.193034,1784287759.466245,1.39440807,"[dac] CH_A set to +0.162 V (code=33298)
"
12,1,5,0,0.16199619048062996,0.03144271427953127,-0.1305534762010987,1784287760.193811,1784287761.637876,1784287760.9158435,1.33273974,"[dac] CH_A set to +0.031 V (code=32870)
"
13,1,6,0,0.03144271427953127,-0.09911076192156743,-0.1305534762010987,1784287761.6383748,1784287763.075438,1784287762.3569064,1.27509326,"[dac] CH_A set to -0.099 V (code=32443)
"
14,1,7,0,-0.09911076192156743,-0.22966423812266612,-0.1305534762010987,1784287763.075999,1784287764.516813,1784287763.796406,1.22414985,"[dac] CH_A set to -0.230 V (code=32015)
"
15,1,8,0,-0.22966423812266612,-0.3602177143237648,-0.1305534762010987,1784287764.5170481,1784287765.970193,1784287765.2436204,1.16382214,"[dac] CH_A set to -0.360 V (code=31587)
"
16,1,9,0,-0.3602177143237648,-0.4907711905248635,-0.1305534762010987,1784287765.9703932,1784287767.425588,1784287766.6979904,1.07802273,"[dac] CH_A set to -0.491 V (code=31159)
"
17,1,10,0,-0.4907711905248635,-0.6213246667259622,-0.1305534762010987,1784287767.426044,1784287768.868504,1784287768.147274,1.02305748,"[dac] CH_A set to -0.621 V (code=30732)
"
18,1,11,0,-0.6213246667259622,-0.7518781429270609,-0.1305534762010987,1784287768.870187,1784287770.3094652,1784287769.589826,0.973454689,"[dac] CH_A set to -0.752 V (code=30304)
"
19,1,12,0,-0.7518781429270609,-0.8824316191281596,-0.1305534762010987,1784287770.310094,1784287771.760121,1784287771.0351076,0.879611579,"[dac] CH_A set to -0.882 V (code=29876)
"
20,1,13,0,-0.8824316191281596,-1.0129850953292583,-0.1305534762010987,1784287771.762934,1784287773.217412,1784287772.4901729,0.830008792,"[dac] CH_A set to -1.013 V (code=29448)
"
21,1,14,0,-1.0129850953292583,-1.143538571530357,-0.1305534762010987,1784287773.217879,1784287774.667093,1784287773.942486,0.761637384,"[dac] CH_A set to -1.143 V (code=29021)
"
22,1,15,0,-1.143538571530357,-1.2740920477314557,-0.1305534762010987,1784287774.668203,1784287776.114975,1784287775.3915892,0.677178585,"[dac] CH_A set to -1.274 V (code=28593)
"
23,1,16,0,-1.2740920477314557,-1.4046455239325546,-0.13055347620109892,1784287776.1155999,1784287777.568877,1784287776.8422384,0.639641341,"[dac] CH_A set to -1.405 V (code=28165)
"
24,1,17,0,-1.4046455239325546,-1.535199000133653,-0.13055347620109847,1784287777.569073,1784287779.006902,1784287778.2879875,0.571269932,"[dac] CH_A set to -1.535 V (code=27737)
"
25,1,18,0,-1.535199000133653,-1.6657524763347515,-0.13055347620109847,1784287779.007838,1784287780.460191,1784287779.7340145,0.525688993,"[dac] CH_A set to -1.666 V (code=27309)
"
26,1,19,0,-1.6657524763347515,-1.7963059525358505,-0.13055347620109892,1784287780.4609191,1784287781.909606,1784287781.1852627,0.445252041,"[dac] CH_A set to -1.796 V (code=26881)
"
27,1,20,0,-1.7963059525358505,-1.9268594287369494,-0.13055347620109892,1784287781.91023,1784287783.357329,1784287782.6337795,0.376880633,"[dac] CH_A set to -1.927 V (code=26454)
"
